Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2024,A.J. Greer,CGY,L,57,499.63333333333,8.7654970760234,53.68,62.09,46.37,37.47,41.55,47.42,24.86,30.26,45.10,1.8,2.88,38.46,2.32,2.52,47.89,22.58,27.02,45.52,9.25,9.97,48.13,0.84,1.44,36.84,17.77,22.74,43.87,0.32,0.96,25.00,44.75,51.17,46.65,1.04,1.04,50.00,7.25,90.48,0.977,6.48,10.81,5.64,61.85,53.47,10.45,14.17,13.33,43.94
2024,Aaron Ekblad,FLA,D,51,1064,20.862745098039,67.33,56.33,54.45,47.09,42.12,52.78,32.2,29.66,52.05,3.27,1.86,63.74,3.62,3,54.70,31.07,25.71,54.72,13.48,11.56,53.83,1.58,0.96,62.22,23.46,18.87,55.42,0.9,0.68,57.14,56.53,52.21,51.99,0.9,0.57,61.11,10.16,93.73,1.039,7.61,11.22,13.14,43.2,36.68,18.21,16.8,24.59,42.56
2024,Adam Beckman,MIN,L,10,92.65,9.265,45.98,65.41,41.28,36.27,44.68,44.80,22.67,28.49,44.30,1.3,1.94,40.00,2.25,2.67,45.70,17.49,31.73,35.53,3.89,13.6,22.22,0.65,1.3,33.33,18.13,24.18,42.86,0.86,0.86,50.00,35.55,55.19,39.18,0,0,-,5.71,93.18,0.989,5.18,16.19,9.07,45.33,36.36,9.07,18.78,17.49,34.15
2024,Adam Boqvist,CBJ,D,35,639.91666666667,18.283333333333,72.1,61.41,54.00,50.44,45.94,52.33,34.22,32.91,50.98,3,3.28,47.76,3.43,3.35,50.54,33.29,28.13,54.20,13.6,12.56,51.97,1.88,1.69,52.63,26.25,20.75,55.85,1.25,1,55.56,66.5,53.63,55.36,0.27,1.08,20.00,8.77,90.03,0.988,11.91,11.06,6.84,37.69,63.50,28.13,18.38,15,65.22
2024,Adam Edstrom,NYR,C,11,92.516666666667,8.4106060606061,42.8,71.34,37.50,22.7,52.53,30.17,15.56,36.97,29.63,1.95,0.65,75.00,1.56,3.28,32.27,20.75,28.54,42.11,5.84,12.32,32.14,0,0,-,19.89,21.62,47.92,1.73,0,100.00,32.79,65.57,33.33,0.94,0.94,50.00,12.50,98.25,1.107,11.03,18.81,14.27,47.99,43.59,14.27,20.75,28.54,33.33
2024,Adam Erne,EDM,L,23,178.98333333333,7.781884057971,48.94,52.97,48.03,32.52,35.87,47.55,22.12,25.14,46.81,2.01,1.34,60.00,2.27,2.02,52.83,26.15,23.13,53.06,11.4,8.72,56.67,1.34,1.01,57.14,19.67,19.22,50.57,0,0.45,0.00,35.35,48.91,41.95,0.97,0,100.00,9.09,94.67,1.038,9.39,15.76,7.71,52.97,54.90,12.4,19.78,17.1,42.05
2024,Adam Fantilli,CBJ,C,49,769.8,15.710204081633,65.39,56.74,53.54,44.97,42.09,51.66,30.4,30.32,50.06,2.81,4.05,40.91,3.09,2.81,52.34,30.24,26.73,53.08,10.29,10.91,48.53,1.01,1.95,34.21,26.6,21.1,55.77,1.45,1.87,43.75,58.54,43.01,57.65,0.9,0.9,50.00,9.23,86.63,0.959,13.25,9.82,4.44,42.4,74.89,25.49,14.34,11.69,68.55
2024,Adam Fox,NYR,D,67,1571.95,23.461940298507,72.03,50.54,58.77,53.63,36.11,59.76,36.18,24.89,59.25,4.31,2.14,66.86,4.07,2.72,59.98,35.65,24.05,59.72,14.58,9.62,60.25,1.79,0.99,64.38,28.09,19.24,59.35,1.48,1.17,55.77,66.93,41.68,61.62,1.82,0.22,89.19,11.92,91.41,1.033,12.33,9.31,8.51,34.89,59.16,27.98,15.69,16.53,62.86
2024,Adam Gaudette,STL,C,2,19.6,9.8,52.04,33.67,60.71,30.61,21.43,58.82,18.37,18.37,50.00,3.06,3.06,50.00,2.37,0.96,71.24,24.49,15.31,61.54,12.24,6.12,66.67,3.06,0,100.00,16.33,12.24,57.14,0,0,-,35.37,22.11,61.54,0,4.42,0.00,16.67,83.33,1.000,6.12,9.18,6.12,67.35,50.00,15.31,12.24,9.18,62.50
2024,Adam Ginning,PHI,D,9,127.35,14.15,60.31,51.35,54.01,42.4,33.92,55.56,27.8,24.03,53.64,1.88,1.88,50.00,2.62,2.77,48.55,25.91,25.44,50.46,13.19,12.72,50.91,0.47,0.47,50.00,16.96,16.96,50.00,0.63,0.63,50.00,51.04,36.07,58.59,1.36,1.36,50.00,6.78,92.16,0.989,5.65,9.89,5.18,60.31,52.17,13.19,15.08,8.01,62.22
