Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2010,Brian Rafalski,DET,D,63,1286.6333333333,20.422751322751,71.58,41.41,63.35,55.4,34.6,61.55,40.66,25.83,61.15,4.66,2.56,64.52,3.61,2.24,61.71,34.46,19.77,63.54,14.6,8.86,62.23,2.52,1.49,62.79,26.49,14.55,64.55,1.49,0.81,64.86,48.16,26.94,64.13,1.48,0.61,70.97,11.47,90.07,1.015,13.66,10.59,7.04,36.14,65.99,25.93,18.23,13.24,66.19
2010,Brian Rolston,N.J,R,65,1144.4,17.606153846154,52.43,37.54,58.28,40.74,29.1,58.33,29.62,22.7,56.61,2.31,2.15,51.76,2.43,1.79,57.56,22.18,17.14,56.40,8.39,7.08,54.24,1.15,1.31,46.81,18.39,13.42,57.80,0.56,0.7,44.44,38.09,25.07,60.31,1.06,0.38,73.68,7.79,90.53,0.983,12.27,11.22,9.33,48.65,56.80,20.29,17.3,16.83,54.66
2010,Brian Strait,PIT,D,3,40.616666666667,13.538888888889,54.66,31.02,63.79,42.84,26.59,61.70,33.98,17.73,65.71,1.48,2.95,33.33,1.88,1.64,53.44,19.2,14.77,56.52,2.95,5.91,33.33,1.48,2.95,33.33,21.67,11.82,64.71,0,0,-,46.94,17.07,73.33,0,0,-,4.35,83.33,0.877,8.86,8.86,1.48,53.18,85.71,17.73,16.25,7.39,70.59
2010,Brian Sutherby,DAL,C,51,378.01666666667,7.412091503268,36.98,56.98,39.36,25.24,42.38,37.32,16.98,30.63,35.67,0.95,3.49,21.43,1.39,2.59,34.98,15.87,24.44,39.37,6.35,12.06,34.48,0.48,1.75,21.43,12.7,16.51,43.48,0.21,1.27,14.29,22.47,37.37,37.55,0.46,1.15,28.57,5.61,88.60,0.942,11.11,18.89,9.68,55.08,53.44,13.17,23.97,15.87,45.36
2010,Brian Willsie,WSH,R,1,6.25,6.25,19.2,115.2,14.29,19.2,76.8,20.00,19.2,67.2,22.22,9.6,9.6,50.00,0.58,6.76,7.93,9.6,67.2,12.50,0,38.4,0.00,0,9.6,0.00,12.8,38.4,25.00,12.8,0,100.00,13.87,41.6,25.00,0,0,-,50.00,85.71,1.357,28.8,0,9.6,48,75.00,28.8,19.2,19.2,60.00
2010,Brodie Dupont,NYR,L,1,5.5666666666667,5.5666666666667,43.11,21.56,66.67,32.34,21.56,60.00,32.34,21.56,60.00,0,0,-,1.54,0.37,80.67,10.78,0,100.00,10.78,0,100.00,0,0,-,0,0,-,0,0,-,46.71,31.14,60.00,0,0,-,0.00,100.00,1.000,10.78,0,10.78,53.89,50.00,21.56,0,10.78,66.67
2010,Brooks Laich,WSH,C,82,1504.25,18.344512195122,63.46,52.77,54.60,45.83,38.21,54.53,32.55,27.8,53.93,2.95,1.87,61.16,3.29,2.59,55.99,30.11,25.29,54.36,11.69,9.25,55.81,1.6,1.16,57.97,24.57,21.38,53.47,1.17,0.53,68.75,41.54,34.91,54.33,0.63,0.46,57.89,9.07,93.26,1.023,13.2,11.37,10.25,40.6,56.29,25.29,19.15,20.66,55.03
2010,Brooks Orpik,PIT,D,63,1315.6,20.88253968254,48.3,62.34,43.65,35.21,46.56,43.06,25.77,33.75,43.30,2.28,2.46,48.08,1.92,2.97,39.28,22.03,28.87,43.28,8.89,12.22,42.12,1.05,1.55,40.35,17.51,22.2,44.10,0.79,0.55,59.09,32.28,41.7,43.63,0.79,0.72,52.17,8.85,92.70,1.016,6.43,13.86,13.18,35.35,32.79,13.36,22.21,25.27,34.59
2010,Bruno Gervais,NYI,D,53,830.8,15.675471698113,48.03,65.5,42.30,34.88,47.16,42.52,24.41,33.8,41.94,1.44,2.89,33.33,2.08,2.99,41.08,23.54,32.21,42.23,9.53,14.23,40.12,1.08,1.59,40.54,18.68,23.98,43.79,0.39,1.25,23.53,28.06,39.64,41.45,0.1,0.52,16.67,5.92,91.45,0.974,7.66,12.49,11.12,46.36,40.77,14.44,19.79,20.22,41.67
2010,Bryan Allen,"CAR, FLA",D,72,1319.2,18.322222222222,51.9,65.13,44.35,38.07,49.39,43.53,27.7,36.84,42.92,2.55,3.09,45.16,2.16,3.04,41.61,23.74,29.15,44.88,10.01,11.78,45.93,1.55,1.5,50.75,18.31,23.17,44.15,0.73,1.33,35.29,33.51,45.13,42.61,0.66,0.85,43.48,9.20,91.60,1.008,6.41,11.33,11.1,45.71,36.62,14.1,17.92,21.65,39.44
