Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,Brett Leason,ANA,R,63,826.51666666667,13.119312169312,0.8,0.8,0.44,0.36,1.6,84.62,6.1,13.10,0.55,11.76,8.64,5.66,2.47,0.58,1.16,1.02,0.51,0.51,0,0,0.29,1.09,1.23,5.08,4.5,4.5,0.94,1.67,2.62
2023,Brett Murray,BUF,L,2,15.933333333333,7.9666666666667,0,0,0,0,0,-,3.77,0.00,0.5,3.77,3.77,3.77,3.77,3.77,0,7.53,3.77,3.77,0,0,0,0,3.77,15.06,11.3,0,3.77,0,376.57
2023,Brett Pesce,CAR,D,67,1361.1166666667,20.315174129353,0.13,0.44,0.13,0.31,0.57,21.31,4.5,2.94,0.22,12.96,7.93,3.57,0.35,0.18,1.54,0.88,0.44,0.44,0,0,0.4,0.66,1.5,0.97,3,4.85,0,0,-
2023,Brett Seney,CHI,L,4,41.383333333333,10.345833333333,0,0,0,0,0,0.00,1.45,0.00,0.09,4.35,2.9,1.45,0,0,0,8.7,4.35,4.35,0,0,1.45,7.25,0,10.15,4.35,8.7,5.8,11.6,48.33
2023,Brian Dumoulin,SEA,D,74,1253.9166666667,16.94481981982,0.24,0.48,0.19,0.29,0.72,39.47,2.97,8.06,0.14,7.94,4.93,2.25,0.24,0.14,0.67,0.96,0.48,0.48,0,0,0.38,1.1,0.72,2.92,3.92,3.49,0,0,-
2023,Brian Halonen,N.J,L,1,9.7833333333333,9.7833333333333,0,0,0,0,0,-,6.13,0.00,0.97,12.27,12.27,6.13,6.13,0,0,0,0,0,0,0,0,0,6.13,0,12.27,0,0,6.13,0.00
2023,Brock Boeser,VAN,R,77,1436.7833333333,18.659523809524,1.63,1.34,0.88,0.46,2.96,57.72,8.35,19.50,1.34,16.33,12.03,10.44,4.93,0.38,1.46,0.42,0.21,0.21,0,0,0.21,0.88,1.17,1.92,1.5,1.13,0.42,0.5,1.90
2023,Brock Faber,MIN,D,76,1901.7333333333,25.022807017544,0.22,1.1,0.47,0.63,1.33,42.00,3.75,5.88,0.22,8.46,5.24,2.59,0.41,0.03,0.66,0.82,0.41,0.41,0,0,0.19,1.1,0.44,1.7,3.69,4.51,0,0,-
2023,Brock McGinn,ANA,L,24,264.5,11.020833333333,0.23,0.45,0,0.45,0.68,50.00,5.44,4.17,0.6,9.53,7.94,4.76,2.72,0.68,0.45,0.91,0.45,0.45,0,0,0.91,0.91,0.91,6.12,4.54,2.5,1.13,1.59,9.45
2023,Brock Nelson,NYI,C,77,1389.7166666667,18.048268398268,1.3,1.34,0.86,0.47,2.63,63.54,10.23,12.66,1.14,17.01,13.56,11.57,4.58,0.52,1.42,1.12,0.56,0.56,0,0,0.78,1.81,1.55,1.34,2.63,1.94,14.07,16.45,1.99
