Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2019,Aaron Ekblad,FLA,D,67,1537.9166666667,22.953980099502,0.2,1.4,0.9,0.51,1.6,44.09,5.74,3.40,0.28,10.34,7.3,2.77,0.78,0.27,0.62,1.01,0.51,0.51,0,0,0.35,2.89,1.44,1.33,2.18,3.28,0,0,-
2019,Aaron Ness,ARI,D,24,300.83333333333,12.534722222222,0,0.2,0.2,0,0.2,7.69,2.19,0.00,0.08,5.39,3.79,0.6,0,0,0,0,0,0,0,0,1,1.6,0.2,3.39,9.77,3.99,0,0,-
2019,Adam Boqvist,CHI,D,41,665.11666666667,16.222357723577,0.36,0.81,0.45,0.36,1.17,35.14,4.51,8.00,0.27,9.65,6.22,3.52,0.54,0.09,0.45,0.54,0.27,0.27,0,0,0.9,2.35,0.9,2.98,5.5,3.88,0,0,-
2019,Adam Brooks,TOR,C,7,54.966666666667,7.852380952381,0,3.27,2.18,1.09,3.27,100.00,2.18,0.00,0.48,5.46,4.37,3.27,1.09,0,1.09,0,0,0,0,0,1.09,1.09,2.18,0,6.55,1.09,5.46,5.46,54.58
2019,Adam Erne,DET,L,56,661.68333333333,11.815773809524,0.18,0.27,0.27,0,0.45,55.56,5.71,3.17,0.48,9.61,7.34,4.99,2.99,0.63,0.45,2.54,0.91,0.82,0,0.09,0.54,2.45,0.45,12.88,2.9,2.27,1.81,1.18,5.50
2019,Adam Fox,NYR,D,70,1323.3,18.904285714286,0.36,1.54,0.91,0.63,1.9,48.28,5.67,6.40,0.39,11.02,7.84,4.31,0.86,0.09,0.77,1.45,0.73,0.73,0,0,0.45,2.77,2.58,1.59,4.17,4.17,0,0,-
2019,Adam Gaudette,VAN,C,59,730.63333333333,12.383615819209,0.99,1.72,0.57,1.15,2.71,71.74,6.16,16.00,0.79,12.4,9.61,7.8,3.04,0.25,0.49,3.04,0.99,0.82,0.08,0.08,0.74,1.23,1.89,2.38,3.61,1.64,15.36,21.93,3.38
2019,Adam Henrique,ANA,C,71,1197.5666666667,16.867136150235,1.3,0.85,0.55,0.3,2.15,67.19,8.52,15.29,1.05,14.08,12.07,9.92,5.36,0.6,1,1.1,0.55,0.55,0,0,0.55,1.6,1.3,3.76,2,1.6,25.65,20.94,2.76
2019,Adam Johnson,PIT,C,7,46.866666666667,6.6952380952381,1.28,1.28,1.28,0,2.56,66.67,6.4,20.00,0.69,7.68,6.4,5.12,2.56,1.28,1.28,2.56,1.28,1.28,0,0,0,1.28,1.28,5.12,11.52,3.84,0,0,-
2019,Adam Larsson,EDM,D,49,971.73333333333,19.831292517007,0.06,0.31,0.12,0.19,0.37,15.38,3.77,1.64,0.16,7.84,5.8,1.36,0.37,0,0.43,2.16,0.74,0.62,0.06,0.06,0.19,2.16,0.99,6.92,4.01,5.06,0,0,-
2019,Adam Lowry,WPG,"C, L",49,733.11666666667,14.96156462585,0.33,0.49,0.25,0.25,0.82,55.56,5.57,5.88,0.67,9.17,7.45,6.14,2.95,0.41,0.33,1.88,0.57,0.33,0.25,0,0.57,0.9,2.54,11.21,5.4,1.8,28.56,24.55,4.40
2019,Adam Pelech,NYI,D,38,803.01666666667,21.13201754386,0.07,0.6,0.15,0.45,0.67,27.27,3.66,2.04,0.16,8.59,5.23,1.94,0.45,0.15,0.37,1.49,0.75,0.75,0,0,0.3,3.59,2.39,6.05,4.71,6.2,0,0,-
2019,Adrian Kempe,L.A,"C, L",69,1104.8333333333,16.012077294686,0.6,1.14,0.76,0.38,1.74,66.67,8.04,7.43,0.75,14.23,11.3,6.73,3.04,0.65,0.92,1.57,0.71,0.65,0.05,0,0.71,1.47,1.3,3.86,2.99,0.92,5,7.11,2.24
2019,Alan Quine,CGY,C,9,88.25,9.8055555555556,0.68,0,0,0,0.68,100.00,8.16,8.33,0.7,12.24,9.52,7.48,4.08,1.36,0,2.72,1.36,1.36,0,0,0,0.68,1.36,4.08,2.04,1.36,0.68,0,67.99
2019,Alec Martinez,"L.A, VGK",D,51,1096.9,21.507843137255,0.16,0.71,0.22,0.49,0.88,30.19,4.1,4.00,0.18,9.63,6.02,2.41,0.49,0.16,0.71,1.26,0.55,0.49,0.05,0,0.49,1.75,0.77,2.35,4.1,6.4,0,0,-
2019,Aleksander Barkov,FLA,C,66,1320.9833333333,20.014898989899,0.91,1.91,1,0.91,2.82,64.58,7.81,11.63,0.88,12.13,10.36,7.99,4.36,0.23,0.86,0.82,0.41,0.41,0,0,0.86,2.36,2.32,0.95,3.27,1.59,29.66,24.98,2.47
2019,Aleksi Saarela,FLA,C,9,110.23333333333,12.248148148148,1.09,1.09,1.09,0,2.18,57.14,8.16,13.33,0.79,13.06,11.43,6.53,2.18,0,0.54,0,0,0,0,0,0,1.63,3.27,0.54,5.44,1.63,3.27,5.99,19.21
2019,Alex Biega,DET,D,49,804.63333333333,16.421088435374,0,0.22,0.15,0.07,0.22,17.65,4.1,0.00,0.17,9.17,6.64,1.86,0.37,0.22,0.67,1.79,0.89,0.89,0,0,0.67,2.24,0.3,8.58,5.22,3.43,0,0,-
2019,Alex Chiasson,EDM,R,65,853.03333333333,13.12358974359,0.77,0.91,0.49,0.42,1.69,43.64,6.82,11.34,0.93,11.11,9.28,7.32,4.57,0.14,1.13,2.95,0.84,0.7,0,0.14,0.28,1.41,0.98,3.94,6.4,1.06,0,0.28,0.00
2019,Alex DeBrincat,CHI,"L, R",70,1224.5666666667,17.49380952381,0.88,1.32,0.93,0.39,2.2,65.22,10.14,8.70,1,17.79,13.23,10.49,3.23,0.54,0.88,0.73,0.29,0.24,0.05,0,0.78,1.81,2.01,2.84,3.97,0.93,0.34,0.64,1.71
2019,Alex Galchenyuk,"MIN, PIT",C,59,725.75,12.300847457627,0.66,1.32,0.99,0.33,1.98,70.59,7.11,9.30,0.72,11.66,9.09,6.86,3.14,0.33,1.41,1.32,0.66,0.66,0,0,0.58,1.65,0.41,4.3,5.62,1.41,5.54,5.29,4.23
2019,Alex Goligoski,ARI,D,70,1613.9833333333,23.056904761905,0.15,1.04,0.26,0.78,1.19,40.00,3.75,3.96,0.17,7.92,4.87,1.9,0.19,0.26,0.67,0.89,0.45,0.45,0,0,0.15,1.97,0.26,3.38,3.49,4.98,0,0,-
2019,Alex Iafallo,L.A,L,70,1324.9333333333,18.927619047619,0.77,1.18,0.72,0.45,1.95,61.43,6.43,11.97,0.69,10.46,8.47,6.84,2.94,0.41,0.91,0.63,0.32,0.32,0,0,0.41,0.5,0.82,2.22,3.67,2.13,0.5,0.54,2.17
2019,Alex Killorn,T.B,"C, L",68,1218.9166666667,17.925245098039,1.28,1.13,0.59,0.54,2.41,61.25,6.4,20.00,0.76,10.29,8.56,6.6,3,0.2,0.69,0.98,0.49,0.49,0,0,0.54,1.28,1.33,2.9,3.64,0.74,0.25,0.69,1.30
2019,Alex Nylander,CHI,L,65,788.78333333333,12.135128205128,0.76,1.22,0.68,0.53,1.98,72.22,7.15,10.64,0.58,11.49,9.28,6.54,2.51,0.99,0.38,0.76,0.38,0.38,0,0,0.99,1.75,1.9,2.21,5.93,1.06,0.38,1.06,2.00
2019,Alex Ovechkin,WSH,L,68,1404.1166666667,20.648774509804,2.05,0.81,0.56,0.26,2.86,63.81,13.29,15.43,1.34,25.72,18.55,12.01,3.93,0.73,1.45,1.28,0.64,0.64,0,0,0.56,2.05,1.2,7.86,1.84,1.28,0.04,0,4.27
