Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2018,A.J. Greer,COL,L,15,94.016666666667,6.2677777777778,0.64,0.64,0.64,0,1.28,100.00,5.74,11.11,0.65,8.93,7.02,5.11,3.19,0.64,1.28,8.93,4.47,4.47,0,0,1.91,0.64,2.55,12.76,12.76,3.19,1.28,1.91,25.53
2018,Aaron Ekblad,FLA,D,82,1938.8166666667,23.644105691057,0.4,0.74,0.25,0.5,1.15,32.74,5.57,7.22,0.29,9.75,7.12,2.82,0.65,0.31,0.9,1.45,0.68,0.65,0.03,0,0.5,3.78,1.45,3.53,3.56,2.72,0,0,-
2018,Adam Clendening,CBJ,D,4,42.616666666667,10.654166666667,0,0,0,0,0,0.00,4.22,0.00,0.1,11.26,4.22,1.41,0,1.41,0,0,0,0,0,0,0,0,2.82,1.41,12.67,4.22,0,0,-
2018,Adam Cracknell,ANA,R,2,20.866666666667,10.433333333333,0,0,0,0,0,-,8.63,0.00,0.6,11.5,8.63,5.75,2.88,0,0,0,0,0,0,0,0,2.88,0,17.25,5.75,0,0,0,-
2018,Adam Erne,T.B,L,65,685.63333333333,10.548205128205,0.61,1.14,0.53,0.61,1.75,58.82,6.13,10.00,0.59,11.81,9.01,7.26,3.24,0.79,0.7,3.5,1.14,0.88,0.18,0.09,1.05,0.7,1.4,13.91,4.81,2.28,0.96,1.05,4.19
2018,Adam Gaudette,VAN,C,56,613.15,10.949107142857,0.49,0.68,0.39,0.29,1.17,50.00,5.38,9.09,0.56,10.76,8.12,6.26,2.35,0.2,0.98,1.76,0.78,0.78,0,0,1.37,0.68,0.98,4.7,5.38,1.47,14.68,21.63,3.96
2018,Adam Henrique,ANA,C,82,1349,16.451219512195,0.8,1.07,0.67,0.4,1.87,61.76,5.43,14.75,0.74,9.96,8.45,6.67,3.91,0.22,0.53,1.07,0.53,0.53,0,0,0.67,1.16,1.73,3.47,3.07,3.16,25.4,22.77,2.35
2018,Adam Johnson,PIT,C,6,31.833333333333,5.3055555555556,0,3.77,1.88,1.88,3.77,66.67,5.65,0.00,0.5,9.42,5.65,7.54,3.77,0,0,0,0,0,0,0,0,1.88,3.77,20.73,13.19,5.65,0,0,-
2018,Adam Larsson,EDM,D,82,1773.1,21.623170731707,0.1,0.58,0.27,0.3,0.68,37.04,3.96,2.56,0.14,8.26,5.75,1.79,0.17,0,0.41,1.49,0.74,0.74,0,0,0.3,2.3,0.85,8.66,4.37,4.33,0,0,-
2018,Adam Lowry,WPG,C,78,1141.7833333333,14.638247863248,0.63,0.58,0.26,0.32,1.21,60.53,5.52,11.43,0.66,9.35,7.67,5.78,3.52,0.32,0.74,1.73,0.63,0.47,0.16,0,1,1.21,2.21,11.72,5.57,2.57,33.79,24.86,3.03
2018,Adam McQuaid,"CBJ, NYR",D,50,788.86666666667,15.777333333333,0.23,0.3,0.15,0.15,0.53,23.33,2.13,10.71,0.12,5.55,3.8,0.99,0,0.08,0.23,3.19,1.37,1.22,0.15,0,0.84,1.45,0.84,9.28,4.79,6.69,0,0,-
2018,Adam Pelech,NYI,D,78,1453.1,18.629487179487,0.21,0.66,0.29,0.37,0.87,36.21,4.54,4.55,0.19,9,6.52,2.23,0.41,0.17,0.45,0.99,0.5,0.5,0,0,0.17,1.69,1.53,6.15,6.23,4.79,0,0,-
2018,Adrian Kempe,L.A,C,81,1174.5166666667,14.500205761317,0.61,0.82,0.41,0.41,1.43,70.00,6.03,10.17,0.51,10.98,8.17,5.82,1.94,0,0.51,2.55,1.02,0.97,0,0.05,0.77,1.23,1.02,4.39,2.76,1.07,16.09,21.66,2.18
2018,Alan Quine,CGY,C,13,123.46666666667,9.4974358974359,1.46,0.97,0,0.97,2.43,100.00,5.35,27.27,0.47,9.72,6.8,4.37,2.43,0,0.49,2.92,1.46,1.46,0,0,0,2.43,1.46,6.8,3.4,0.97,6.32,9.72,19.14
2018,Alec Martinez,L.A,D,60,1281.7833333333,21.363055555556,0.19,0.66,0.28,0.37,0.84,33.96,3.65,5.13,0.2,7.96,5.29,2.53,0.51,0.14,0.47,0.37,0.19,0.19,0,0,0.19,3.28,0.56,3.65,3.7,6.32,0,0,-
2018,Aleksander Barkov,FLA,C,82,1833.0166666667,22.353861788618,1.15,2,1.21,0.79,3.14,66.67,6.74,16.99,0.78,10.41,9.07,6.48,3.34,0.43,0.62,0.26,0.13,0.13,0,0,1.15,2.26,3.27,0.92,4.55,2,34.07,29.39,1.76
2018,Alex Biega,VAN,D,41,724.51666666667,17.671138211382,0.17,1.16,0.58,0.58,1.33,48.48,7.54,2.20,0.25,15.15,10.68,3.89,0.83,0.5,0.75,1.82,0.83,0.83,0,0,0.41,1.41,0.33,8.36,6.96,3.56,0,0,-
2018,Alex Chiasson,EDM,R,73,1238.8333333333,16.970319634703,1.07,0.77,0.63,0.15,1.84,52.05,5.96,17.89,0.87,10.03,8.48,7.22,4.26,0.39,0.92,1.55,0.77,0.77,0,0,0.77,1.31,1.36,4.12,6.3,1.5,0.34,0.73,1.54
2018,Alex DeBrincat,CHI,"L, R",82,1451.4,17.7,1.69,1.45,0.7,0.74,3.14,66.67,9.09,18.64,0.91,16.7,12.36,10.62,3.1,0.45,0.58,0.62,0.25,0.21,0.04,0,0.45,2.07,2.11,1.45,3.97,1.07,0.66,0.79,1.89
2018,Alex Formenton,OTT,L,9,105.01666666667,11.668518518519,0.57,0,0,0,0.57,33.33,9.14,6.25,0.88,14.28,12.57,10.86,5.71,1.14,1.14,3.43,1.71,1.71,0,0,4.57,2.86,2.29,6.28,8.57,4,0.57,1.14,19.04
2018,Alex Galchenyuk,ARI,C,72,1132.6333333333,15.731018518519,1.01,1.17,0.64,0.53,2.17,73.21,8.42,11.95,0.97,15.26,12.13,8.16,3.81,0.21,0.85,1.8,0.9,0.9,0,0,0.79,2.12,1.48,3.28,4.45,1.8,9.96,11.81,2.42
2018,Alex Goligoski,ARI,D,76,1581.8833333333,20.814254385965,0.11,0.91,0.46,0.46,1.02,38.57,3.87,2.94,0.16,8.76,5.46,1.71,0.27,0.38,0.38,0.61,0.3,0.3,0,0,0.34,2.24,0.72,3,3.98,5.84,0.04,0,3.79
2018,Alex Iafallo,L.A,L,82,1380.0333333333,16.829674796748,0.65,0.78,0.43,0.35,1.43,58.93,6.43,10.14,0.6,10.3,8.61,5.96,2.52,0.17,0.43,0.96,0.43,0.43,0,0,0.26,0.83,1.13,3.78,3.83,2.35,0.3,0.74,1.27
2018,Alex Killorn,T.B,L,82,1219.7,14.874390243902,0.89,1.08,0.74,0.34,1.97,57.97,7.53,11.76,0.79,14.12,10.48,8.9,3.3,0.84,0.89,2.21,1.03,0.98,0.05,0,0.49,1.08,1.48,4.33,4.43,1.13,0.1,0.39,0.98
2018,Alex Ovechkin,WSH,L,81,1694.6166666667,20.921193415638,1.81,1.35,0.92,0.42,3.15,64.49,11.97,15.09,1.23,23.65,17.74,10.27,3.01,0.5,0.99,1.42,0.71,0.71,0,0,0.71,2.48,1.66,7.9,2.16,1.45,0.04,0.14,0.71
2018,Alex Petrovic,"EDM, FLA",D,35,578.41666666667,16.52619047619,0,0.21,0,0.21,0.21,18.18,4.88,0.00,0.2,11.51,7.26,2.9,0.52,0.41,0.31,2.7,0.93,0.83,0,0.1,0.31,2.9,0.93,12.03,6.12,5.5,0,0,-
2018,Alex Pietrangelo,STL,D,71,1709.2833333333,24.07441314554,0.46,0.98,0.32,0.67,1.44,40.59,5.9,7.74,0.36,12.53,8.18,3.12,0.77,0.14,0.77,0.77,0.39,0.39,0,0,0.56,1.76,1.93,2.18,4.11,4.88,0,0.04,0.00
2018,Alex Tuch,VGK,R,74,1237.7833333333,16.726801801802,0.97,1.55,0.63,0.92,2.52,65.00,8.73,11.11,0.98,15.85,12.12,9.45,4.12,0.63,1.5,0.39,0.19,0.19,0,0,0.53,2.47,3.34,4.46,4.51,1.94,2.08,3.34,1.86
2018,Alexander Edler,VAN,D,56,1375.9166666667,24.56994047619,0.44,1.05,0.74,0.31,1.48,45.95,5.58,7.81,0.21,11.08,7.89,2.18,0.17,0.04,0.52,2.35,1.18,1.18,0,0,0.39,1.66,0.57,5.54,4.1,7.24,0,0,-
2018,Alexander Kerfoot,COL,C,78,1160.8333333333,14.882478632479,0.78,1.4,0.62,0.78,2.17,68.85,6,12.93,0.63,10.08,7.8,6.98,3.46,0.16,0.93,1.96,0.98,0.98,0,0,0.83,1.55,1.14,1.14,6.2,1.5,14.16,11.11,2.90
2018,Alexander Nylander,BUF,R,12,146.31666666667,12.193055555556,0.82,0.82,0.82,0,1.64,66.67,6.56,12.50,0.65,12.3,9.02,5.74,3.28,0,0.41,1.64,0.82,0.82,0,0,1.23,1.64,0.41,0.41,2.05,0.41,0.82,0.41,27.34
