Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2011,Sean Collins,WSH,D,2,21.866666666667,10.933333333333,0,0,0,0,0,0.00,8.23,0.00,0.26,13.72,8.23,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,2.74,0,0,-
2011,Sean Couturier,PHI,C,77,1088.7166666667,14.139177489177,0.72,0.77,0.44,0.33,1.49,62.79,6.39,11.21,0.63,10.42,8.1,5.4,2.48,0.39,0.61,0.77,0.39,0.39,0,0,0.83,1.43,2.65,4.52,4.35,1.82,20.83,23.48,2.59
2011,Sean O'Donnell,CHI,D,51,689.1,13.511764705882,0,0.61,0.26,0.35,0.61,30.43,2.61,0.00,0.11,6.53,4.35,1.31,0.09,0,0,2,0.87,0.78,0.09,0,0.35,2.79,0.96,4.01,4.44,3.83,0,0,-
2011,Sergei Gonchar,OTT,D,74,1646.7166666667,22.252927927928,0.18,1.17,0.66,0.51,1.35,45.68,4.77,3.82,0.23,10.57,6.59,2.37,0.11,0.07,0.66,1.93,0.91,0.87,0.04,0,0.18,1.86,0.8,1.75,3.72,4.19,0,0,-
2011,Sergei Kostitsyn,NSH,L,75,1235.1333333333,16.468444444444,0.83,1.26,0.92,0.34,2.09,70.49,4.71,17.53,0.51,9.38,6.66,5,1.75,0.24,0.39,1.65,0.83,0.83,0,0,0.49,1.46,1.51,2.14,2.53,1.31,0,0.29,0.00
2011,Shane Doan,PHX,R,79,1548.45,19.600632911392,0.85,1.08,0.54,0.54,1.94,68.49,8.76,9.73,0.98,16.43,12.98,8.41,4.34,0.7,0.97,1.86,0.81,0.74,0.08,0,0.81,1.16,1.86,7.94,5.7,1.05,1.28,1.01,2.17
2011,Shane O'Brien,COL,D,76,1460.7,19.219736842105,0.12,0.7,0.49,0.21,0.82,32.79,4.68,2.63,0.15,9.37,6.08,2.01,0.21,0.08,0.74,4.31,1.64,1.44,0.12,0.08,0.86,1.36,1.15,5.67,3.04,3.53,0,0,-
2011,Shawn Horcoff,EDM,C,81,1586.4333333333,19.585596707819,0.49,0.79,0.49,0.3,1.29,48.57,4.65,10.57,0.57,8.43,6.96,5.03,2.5,0.3,0.42,0.91,0.45,0.45,0,0,0.53,1.82,1.74,2.34,1.29,1.78,27.53,28.25,1.87
2011,Shawn Matthias,FLA,L,79,1090.9666666667,13.80970464135,0.55,0.77,0.6,0.16,1.32,64.86,7.31,7.52,0.75,11.11,9.24,6.98,2.64,0.49,0.71,2.69,0.88,0.66,0.16,0.05,0.44,0.71,1.37,3.3,5,2.09,16.22,16.61,2.72
2011,Shawn Thornton,BOS,L,81,743.81666666667,9.1829218106996,0.4,0.65,0.56,0.08,1.05,76.47,9.2,4.39,0.72,15.08,12.26,6.45,2.74,0.73,0.56,12.42,3.15,1.37,1.61,0.16,2.5,0.48,1.53,7.34,4.84,0.97,1.29,1.77,3.40
2011,Shea Weber,NSH,D,78,2040.5666666667,26.161111111111,0.56,0.88,0.56,0.32,1.44,39.84,6.76,8.26,0.4,12.76,9.85,2.44,0.29,0.29,0.65,1.35,0.68,0.68,0,0,0.29,1.35,1.5,5.2,1.85,4.12,0,0,-
2011,Sheldon Brookbank,ANA,D,80,1248.4333333333,15.605416666667,0.14,0.53,0.19,0.34,0.67,32.56,2.35,6.12,0.11,6.34,4.28,1.2,0.19,0.29,0.38,3.46,1.11,0.72,0.38,0,0.72,1.39,0.58,5.77,6.39,5.29,0,0,-
2011,Sheldon Souray,DAL,D,64,1309.6166666667,20.462760416667,0.27,0.69,0.37,0.32,0.96,33.87,8.2,3.35,0.28,16.22,11.45,2.02,0.27,0.55,0.69,3.34,1.6,1.56,0.05,0,0.5,1.51,1.05,2.52,2.43,4.12,0,0,-
2011,Sidney Crosby,PIT,C,22,406.38333333333,18.47196969697,1.18,4.28,2.36,1.92,5.46,80.43,11.07,10.67,1.31,18.6,14.32,11.96,5.02,0.74,0.74,2.07,1.03,1.03,0,0,0.89,2.21,1.48,1.62,3.4,1.03,33.52,33.37,7.40
2011,Simon Despres,PIT,D,18,255.96666666667,14.22037037037,0.23,0.7,0.23,0.47,0.94,36.36,5.16,4.55,0.3,10.31,7.74,3.52,0.23,0,0.23,2.34,1.17,1.17,0,0,0,1.64,1.17,4.45,6.8,3.98,0,0,-
2011,Simon Gagne,L.A,L,34,611.61666666667,17.988725490196,0.69,0.98,0.69,0.29,1.67,65.38,7.36,9.33,0.71,12.56,9.12,7.46,3.34,0.2,0.39,1.77,0.88,0.88,0,0,0.29,2.35,0.78,1.67,3.14,0.98,0.2,0.49,2.80
2011,Slava Voynov,L.A,D,54,1000.8666666667,18.534567901235,0.48,0.72,0.48,0.24,1.2,40.82,5.16,9.30,0.34,12.95,8.21,3.66,0.78,0.24,0.78,0.72,0.36,0.36,0,0,0.3,1.8,0.66,4.44,4.74,2.82,0,0,-
2011,Spencer Machacek,WPG,R,13,97.583333333333,7.5064102564103,1.23,4.3,2.46,1.84,5.53,90.00,7.38,16.67,0.58,14.76,9.84,7.99,3.07,0,0.61,4.3,1.23,0.61,0.61,0,1.23,0.61,2.46,14.76,9.22,0.61,0.61,0,61.49
2011,Stefan Elliott,COL,D,39,668.53333333333,17.14188034188,0.36,0.81,0.36,0.45,1.17,41.94,7.54,4.76,0.28,15.44,9.33,2.78,0.27,0.09,0.81,0.72,0.36,0.36,0,0,0.27,1.26,0.63,0.27,5.21,2.78,0,0,-
2011,Stephane Da Costa,OTT,C,22,267.51666666667,12.159848484848,0.67,0.45,0.45,0,1.12,50.00,6.95,9.68,0.67,14.13,10.77,8.07,3.14,0.45,0.67,1.79,0.9,0.9,0,0,0.9,1.12,1.79,3.14,6.06,2.92,14.58,25.12,8.24
2011,Stephane Robidas,DAL,D,75,1707.15,22.762,0.18,0.6,0.28,0.32,0.77,32.84,2.64,6.67,0.14,6.92,4.15,0.91,0.14,0.14,0.28,1.62,0.81,0.81,0,0,0.25,0.88,0.81,6.71,6.57,3.87,0,0,-
2011,Stephane Veilleux,"MIN, N.J",L,22,215.91666666667,9.8143939393939,0,0.56,0,0.56,0.56,50.00,4.45,0.00,0.34,8.89,6.39,4.17,1.95,0.28,0.56,4.17,1.67,1.39,0.28,0,1.11,0.28,3.06,7.5,4.72,1.39,0.83,1.95,8.34
2011,Stephen Gionta,N.J,R,1,10.616666666667,10.616666666667,5.65,0,0,0,5.65,100.00,11.3,50.00,2.95,22.61,22.61,22.61,16.95,0,0,0,0,0,0,0,0,0,0,5.65,11.3,5.65,28.26,16.95,353.22
2011,Stephen Weiss,FLA,C,80,1640.8166666667,20.510208333333,0.73,1.35,0.73,0.62,2.08,60.64,5.45,13.42,0.62,9.69,7.97,5.85,2.67,0.15,0.48,2.19,0.8,0.73,0,0.07,0.66,1.21,2.05,3.36,3.47,2.23,28.56,25.16,1.94
2011,Steve Bernier,N.J,R,32,382.86666666667,11.964583333333,0.16,0.78,0.63,0.16,0.94,37.50,3.6,4.35,0.34,5.8,4.23,4.07,1.88,0.16,0.16,2.51,0.63,0.47,0,0.16,0.47,0.47,1.57,9.56,6.74,2.04,0.47,1.88,3.13
2011,Steve Downie,"COL, T.B",R,75,1194.8666666667,15.931555555556,0.7,1.36,0.65,0.7,2.06,64.06,7.03,10.00,0.67,13.31,9.59,7.03,3.21,1,0.8,6.88,2.21,1.76,0.25,0.2,1.81,1.61,2.46,5.27,5.07,1.26,2.01,2.36,2.31
2011,Steve Eminger,NYR,D,42,557.81666666667,13.281349206349,0.22,0.32,0.22,0.11,0.54,23.81,2.04,10.53,0.09,4.84,3.12,1.61,0.11,0.11,0,3.01,1.51,1.51,0,0,0.65,0.97,0.54,6.78,6.67,5.7,0,0,-
2011,Steve MacIntyre,PIT,L,12,38.116666666667,3.1763888888889,0,0,0,0,0,-,0,-,0.06,4.72,3.15,1.57,0,0,0,9.44,4.72,4.72,0,0,1.57,0,0,7.87,1.57,0,0,0,-
2011,Steve Montador,CHI,D,52,767.51666666667,14.759935897436,0.39,0.7,0.23,0.47,1.09,34.15,4.46,8.77,0.26,8.83,6.25,2.58,0.63,0.08,0.39,2.03,0.7,0.55,0.16,0,0.31,1.64,0.47,3.83,6.64,3.6,0,0,-
2011,Steve Ott,DAL,C,74,1357.0166666667,18.338063063063,0.49,1.24,0.66,0.57,1.72,62.90,4.78,10.19,0.45,9.64,7.52,4.55,1.95,0.44,0.35,6.81,2.12,1.64,0.27,0.22,1.77,1.11,1.15,12.29,2.83,1.19,24.8,19.9,2.45
2011,Steve Staios,NYI,D,65,1110.05,17.077692307692,0,0.43,0.27,0.16,0.43,26.67,3.62,0.00,0.16,7.3,4.76,1.57,0.32,0.11,0.27,2.86,1.35,1.3,0.05,0,0.59,1.73,1.51,2.97,3.73,7.57,0.05,0,5.41
2011,Steve Sullivan,PIT,L,79,1213.3666666667,15.359071729958,0.84,1.53,0.69,0.84,2.37,54.55,6.92,12.14,0.69,11.37,9.15,6.48,3.02,0.35,0.49,0.99,0.49,0.49,0,0,0.4,1.09,0.84,1.88,1.93,0.79,0.2,0.25,2.20
2011,Steven Kampfer,"BOS, MIN",D,23,342.71666666667,14.900724637681,0.35,0.53,0.35,0.18,0.88,27.78,3.5,10.00,0.14,10.33,5.95,2.45,0.18,0.35,0.35,1.05,0.53,0.53,0,0,0.18,1.05,0.53,3.33,6.65,5.43,0,0,-
