Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2024,A.J. Greer,CGY,L,49,427.58333333333,8.7261904761905,54.02,62.86,46.22,38.45,41.68,47.99,25.68,30.17,45.98,1.82,2.81,39.39,2.42,2.61,48.11,22.87,27.78,45.15,9.4,10.66,46.85,0.98,1.4,41.18,17.96,22.83,44.04,0.37,0.75,33.33,44.59,49.86,47.21,0.81,1.22,40.00,7.10,90.70,0.978,6.45,10.52,4.35,63.99,59.74,10.66,14.45,12.21,46.63
2024,Aaron Ekblad,FLA,D,47,993.31666666667,21.134397163121,67.89,56.54,54.56,47.54,42.16,53.00,32.5,29.66,52.28,3.32,1.81,64.71,3.66,3.03,54.78,31.17,26.03,54.49,13.59,11.72,53.70,1.57,0.97,61.90,23.44,19.09,55.11,0.97,0.56,63.16,57.41,52.09,52.43,0.87,0.61,58.82,10.22,93.89,1.041,7.61,11.24,13.17,42.95,36.63,18.3,16.85,25.07,42.20
2024,Adam Beckman,MIN,L,5,49.916666666667,9.9833333333333,50.48,60.1,45.65,44.47,39.67,52.86,24.04,24.04,50.00,2.4,1.2,66.67,3.58,1.97,64.48,21.64,30.05,41.86,6.01,7.21,45.45,1.2,0,100.00,20.83,30.45,40.63,1.6,1.6,50.00,32.99,50.35,39.58,0,0,-,10.00,95.00,1.050,6.01,14.42,10.82,45.68,35.71,13.22,15.63,20.43,39.29
2024,Adam Boqvist,CBJ,D,35,639.91666666667,18.283333333333,72.1,61.41,54.00,50.44,45.94,52.33,34.22,32.91,50.98,3,3.28,47.76,3.43,3.35,50.54,33.29,28.13,54.20,13.6,12.56,51.97,1.88,1.69,52.63,26.25,20.75,55.85,1.25,1,55.56,66.5,53.63,55.36,0.27,1.08,20.00,8.77,90.03,0.988,11.91,11.06,6.84,37.69,63.50,28.13,18.38,15,65.22
2024,Adam Edstrom,NYR,C,11,92.516666666667,8.4106060606061,42.8,71.34,37.50,22.7,52.53,30.17,15.56,36.97,29.63,1.95,0.65,75.00,1.56,3.28,32.27,20.75,28.54,42.11,5.84,12.32,32.14,0,0,-,19.89,21.62,47.92,1.73,0,100.00,32.79,65.57,33.33,0.94,0.94,50.00,12.50,98.25,1.107,11.03,18.81,14.27,47.99,43.59,14.27,20.75,28.54,33.33
2024,Adam Erne,EDM,L,23,178.98333333333,7.781884057971,48.94,52.97,48.03,32.52,35.87,47.55,22.12,25.14,46.81,2.01,1.34,60.00,2.27,2.02,52.83,26.15,23.13,53.06,11.4,8.72,56.67,1.34,1.01,57.14,19.67,19.22,50.57,0,0.45,0.00,35.35,48.91,41.95,0.97,0,100.00,9.09,94.67,1.038,9.39,15.76,7.71,52.97,54.90,12.4,19.78,17.1,42.05
2024,Adam Fantilli,CBJ,C,49,769.8,15.710204081633,65.39,56.74,53.54,44.97,42.09,51.66,30.4,30.32,50.06,2.81,4.05,40.91,3.09,2.81,52.34,30.24,26.73,53.08,10.29,10.91,48.53,1.01,1.95,34.21,26.6,21.1,55.77,1.45,1.87,43.75,58.54,43.01,57.65,0.9,0.9,50.00,9.23,86.63,0.959,13.25,9.82,4.44,42.4,74.89,25.49,14.34,11.69,68.55
2024,Adam Fox,NYR,D,60,1392.8166666667,23.213611111111,72.29,50.4,58.92,53.93,36.06,59.93,36.01,24.81,59.21,4.09,1.98,67.38,4.17,2.77,60.14,36.27,24.25,59.93,14.99,9.74,60.63,1.72,0.95,64.52,28.37,19.36,59.45,1.26,1.09,53.66,66.08,40.82,61.82,1.87,0.19,90.91,11.36,92.01,1.034,12.41,8.79,8.44,35.41,59.50,27.87,14.91,16.28,63.12
2024,Adam Gaudette,STL,C,2,19.6,9.8,52.04,33.67,60.71,30.61,21.43,58.82,18.37,18.37,50.00,3.06,3.06,50.00,2.37,0.96,71.24,24.49,15.31,61.54,12.24,6.12,66.67,3.06,0,100.00,16.33,12.24,57.14,0,0,-,35.37,22.11,61.54,0,4.42,0.00,16.67,83.33,1.000,6.12,9.18,6.12,67.35,50.00,15.31,12.24,9.18,62.50
2024,Adam Ginning,PHI,D,3,47.133333333333,15.711111111111,47.1,61.1,43.53,29.28,39.46,42.59,16.55,26.73,38.24,1.27,1.27,50.00,1.57,2.6,37.55,16.55,28.01,37.14,8.91,11.46,43.75,1.27,0,100.00,10.18,22.07,31.58,0,0,-,36.78,42.29,46.51,0,1.84,0.00,7.69,95.24,1.029,7.64,8.91,6.36,59.83,54.55,11.46,8.91,11.46,50.00
