Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2020,Sam Reinhart,BUF,R,54,1055.1,19.538888888889,57.61,46.69,55.23,45.72,36.39,55.68,32.81,26.84,55.00,3.24,3.7,46.72,3,2.35,56.03,25.59,21.84,53.96,11.2,8.98,55.49,1.54,1.31,54.00,19.18,17.14,52.82,1.29,1.52,45.95,42.06,30.31,58.12,0.9,1.4,39.29,9.88,86.23,0.961,15.47,11.89,5.74,34.57,72.92,28.49,15.87,13.02,68.63
2020,Sam Steel,ANA,C,42,609.76666666667,14.518253968254,53.53,50.58,51.42,38.87,38.97,49.94,25.49,28.83,46.92,1.87,3.25,36.54,2.54,2.68,48.67,25.98,26.96,49.07,10.43,11.41,47.75,1.18,1.57,42.86,20.73,20.73,50.00,0.66,1.18,35.71,34.4,28.85,54.38,0.28,0.99,22.22,7.34,88.74,0.961,12.1,12.1,9.94,45.76,54.91,18.89,16.43,17.12,52.46
2020,Sami Niku,WPG,D,6,77.8,12.966666666667,45.5,67.1,40.41,33.93,57.07,37.29,25.45,38.56,39.76,1.54,3.86,28.57,2.22,3.49,38.85,22.37,32.39,40.85,9.25,13.11,41.38,1.54,2.31,40.00,17.48,25.71,40.48,0,1.03,0.00,30.08,46.79,39.13,0,1.11,0.00,6.06,90.00,0.961,3.86,12.34,12.34,60.93,23.81,13.11,16.97,30.08,30.36
2020,Sami Vatanen,"DAL, N.J",D,39,663.6,17.015384615385,51.08,55.61,47.88,38.7,43.22,47.24,27.12,30.47,47.10,2.26,3.07,42.37,2.13,2.86,42.62,22.42,27.94,44.52,9.86,10.94,47.39,1.18,1.9,38.24,16.76,22.66,42.51,0.96,0.84,53.33,36.05,35.65,50.27,0.52,0.78,40.00,8.33,89.91,0.982,7.69,10.04,12.03,45.84,38.99,16.46,14.83,22.78,41.94
2020,Sammy Blais,STL,L,36,434.31666666667,12.064351851852,44.76,53.33,45.63,33.16,39.92,45.37,23.62,28.73,45.12,2.76,2.76,50.00,1.9,2.56,42.56,22.52,26.66,45.79,8.29,11.47,41.96,1.38,1.24,52.63,18.97,20.26,48.36,1.47,1.66,47.06,26.74,33.32,44.52,0.4,0.4,50.00,11.70,90.38,1.021,6.35,12.71,4.14,54.02,60.53,13.26,19.62,12.85,50.79
2020,Samuel Girard,COL,D,48,1114.2,23.2125,65.37,43.83,59.86,47.5,32.63,59.27,35.49,23.91,59.75,3.55,2.21,61.68,3.07,1.95,61.13,31.88,19.44,62.12,10.99,8.29,56.98,1.62,0.75,68.18,27.86,14.86,65.21,1.87,1.65,53.06,44.88,29.95,59.98,0.78,0.31,71.43,10.02,90.77,1.008,11.15,12.12,7.92,42.27,58.47,25.63,18.69,15.72,61.98
2020,Samuel Morin,PHI,L,20,203.83333333333,10.191666666667,46.21,50.04,48.01,35.62,38.56,48.02,26.2,25.61,50.57,0.88,3.24,21.43,1.58,2.11,42.89,19.72,21.19,48.20,5,8.83,36.17,0.29,1.18,20.00,19.62,16.48,54.35,0.39,1.57,20.00,34.01,35.72,48.78,0.43,1.28,25.00,3.37,87.36,0.907,12.95,15.9,7.65,54.75,62.86,19.72,18.84,17.37,53.17
2020,Scott Harrington,CBJ,D,12,196.11666666667,16.343055555556,41.91,60.58,40.90,32.74,44.36,42.46,23.86,33.04,41.94,2.75,4.59,37.50,1.32,2.64,33.31,15.6,26.92,36.69,4.59,11.01,29.41,0.92,2.45,27.27,14.69,21.21,40.91,0.41,1.63,20.00,34.47,42.87,44.57,2.21,1.33,62.50,11.54,86.11,0.976,7.65,10.4,9.79,50.79,43.86,18.05,14.99,18.05,50.00
2020,Scott Laughton,PHI,C,53,817.28333333333,15.420440251572,48.97,55.87,46.71,37.07,41.92,46.93,26.94,30.39,46.99,2.2,2.64,45.45,2.16,2.65,44.91,21.14,26.43,44.44,8.81,10.2,46.33,1.03,1.54,40.00,16.44,21.63,43.19,1.08,0.49,68.75,34.25,37.65,47.64,0.42,0.95,30.77,8.17,91.30,0.995,9.25,13.43,12.19,50.51,43.15,13.36,17.18,20.56,39.39
2020,Scott Mayfield,NYI,D,56,1090.75,19.477678571429,43.46,59.52,42.20,33.66,43.24,43.78,25.52,29.7,46.22,2.2,2.75,44.44,2.2,2.75,44.50,22.66,30.09,42.96,9.35,9.85,48.71,1.1,1.6,40.82,17.75,26.99,39.67,0.95,1.03,48.15,25.19,38.22,39.72,0.56,0.56,50.00,8.62,90.74,0.994,5.17,9.08,12.32,46.54,29.56,12.65,14.47,22.83,35.66
