Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2010,Aaron Gagnon,DAL,C,37,1986-04-24,Quesnel,BC,CAN,CAN,71,186,2004,PHX,8,13,240
2010,Aaron Palushaj,MTL,R,34,1989-09-07,Livonia,MI,USA,USA,72,187,2007,STL,2,14,44
2010,Aaron Rome,VAN,D,40,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2010,Aaron Volpatti,VAN,L,38,1985-05-30,Revelstoke,BC,CAN,CAN,72,215,-,-,-,-,-
2010,Aaron Voros,ANA,L,42,1981-07-02,Vancouver,BC,CAN,CAN,74,210,2001,N.J,8,2,229
2010,Adam Burish,DAL,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2010,Adam Cracknell,STL,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2010,Adam Foote,COL,D,52,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
2010,Adam Hall,T.B,R,43,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
2010,Adam Henrique,N.J,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2010,Adam Mair,N.J,C,45,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
2010,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2010,Adam Pardy,CGY,D,40,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2010,Adrian Aucoin,PHX,D,50,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
2010,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2010,Ales Hemsky,EDM,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2010,Ales Kotalik,CGY,R,45,1978-12-23,Jindrichuv Hradec,CZE,CZE,73,225,1998,BUF,6,19,164,
2010,Alex Frolov,NYR,L,41,1982-06-19,Moscow,RUS,RUS,74,210,2000,L.A,1,20,20,
2010,Alex Goligoski,"DAL, PIT",D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2010,Alex Kovalev,"OTT, PIT",R,51,1973-02-24,Togliatti,RUS,RUS,74,222,1991,NYR,1,15,15,
2010,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2010,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2010,Alex Plante,EDM,D,34,1989-05-09,Brandon,MB,CAN,CAN,76,230,2007,EDM,1,15,15
2010,Alex Tanguay,CGY,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2010,Alexander Burmistrov,ATL,C,32,1991-10-21,Kazan,RUS,RUS,73,180,2010,ATL,1,8,8,
2010,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2010,Alexander Semin,WSH,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2010,Alexander Steen,STL,L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2010,Alexander Sulzer,"FLA, NSH",D,39,1984-05-30,Kaufbeuren,DEU,DEU,73,198,2003,NSH,3,24,92,
2010,Alexander Urbom,N.J,D,33,1990-12-20,Stockholm,SWE,SWE,76,215,2009,N.J,3,12,73,
2010,Alexander Vasyunov,N.J,L,35,1988-04-22,Yaroslavl,RUS,RUS,73,210,2006,N.J,2,28,58,
2010,Alexandre Bolduc,VAN,C,38,1985-06-26,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
2010,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2010,Alexandre Giroux,EDM,L,42,1981-06-16,Quebec City,QC,CAN,CAN,75,208,1999,OTT,7,27,213
2010,Alexandre Picard,MTL,D,38,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
2010,Alexei Ponikarovsky,L.A,L,43,1980-04-09,Kiev,UKR,UKR,76,225,1998,TOR,4,1,87,
2010,Andre Benoit,OTT,D,40,1984-01-06,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
2010,Andreas Engqvist,MTL,C,36,1987-12-23,Stockholm,SWE,SWE,76,199,-,-,-,-,-,
2010,Andreas Lilja,ANA,D,48,1975-07-13,Helsingborg,SWE,SWE,75,220,2000,L.A,2,24,54,
2010,Andreas Nodl,PHI,R,37,1987-02-28,Vienna,AUT,AUT,73,196,2006,PHI,2,9,39,
2010,Andreas Thuresson,NSH,R,36,1987-11-18,Kristianstad,SWE,SWE,73,206,2007,NSH,5,23,144,
2010,Andrei Kostitsyn,MTL,L,39,1985-02-03,Novopolotsk,BLR,BLR,72,214,2003,MTL,1,10,10,
2010,Andrei Loktionov,L.A,C,33,1990-05-30,Voskresensk,RUS,RUS,71,190,2008,L.A,5,2,123,
2010,Andrei Markov,MTL,D,45,1978-12-20,Voskresensk,RUS,RUS,72,200,1998,MTL,6,17,162,
2010,Andrej Meszaros,PHI,D,38,1985-10-13,Povaská Bystrica,SVK,SVK,74,223,2004,OTT,1,23,23,
2010,Andrej Sekera,BUF,D,37,1986-06-08,Bojnice,SVK,SVK,72,200,2004,BUF,3,6,71,
2010,Andrew Alberts,VAN,D,42,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,BOS,6,14,179
2010,Andrew Brunette,MIN,L,50,1973-08-24,Sudbury,ON,CAN,CAN,73,215,1993,WSH,7,18,174
2010,Andrew Cogliano,EDM,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2010,Andrew Desjardins,S.J,L,37,1986-07-27,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
2010,Andrew Ebbett,PHX,C,41,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2010,Andrew Ference,BOS,D,45,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2010,Andrew Gordon,WSH,R,38,1985-12-13,Porters Lake,NS,CAN,CAN,72,194,2004,WSH,7,4,197
2010,Andrew Hutchinson,PIT,D,44,1980-03-24,Evanston,IL,USA,USA,74,195,1999,NSH,2,26,54
2010,Andrew Ladd,ATL,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
2010,Andrew MacDonald,NYI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2010,Andrew Murray,CBJ,C,42,1981-11-06,Selkirk,MB,CAN,CAN,74,210,2001,CBJ,8,15,242
2010,Andrey Zubarev,ATL,D,37,1987-03-03,Ufa,RUS,RUS,73,210,2005,ATL,6,25,187,
2010,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2010,Andy McDonald,STL,L,46,1977-08-25,Strathroy,ON,CAN,CAN,70,175,-,-,-,-,-
