Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2013,Aaron Ness,NYI,D,33,1990-05-18,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2013,Aaron Palushaj,CAR,R,34,1989-09-07,Livonia,MI,USA,USA,72,187,2007,STL,2,14,44
2013,Aaron Rome,DAL,D,40,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2013,Aaron Volpatti,WSH,L,38,1985-05-30,Revelstoke,BC,CAN,CAN,72,215,-,-,-,-,-
2013,Adam Almquist,DET,D,33,1991-02-27,Jönköping,SWE,SWE,71,174,2009,DET,7,29,210,
2013,Adam Burish,S.J,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2013,Adam Cracknell,STL,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2013,Adam Hall,PHI,R,43,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
2013,Adam Henrique,N.J,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2013,Adam Larsson,N.J,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2013,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2013,Adam Pardy,WPG,D,40,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2013,Adam Payerl,PIT,C,33,1991-03-04,Kitchener,ON,CAN,CAN,75,218,-,-,-,-,-
2013,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2013,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2013,Ales Hemsky,"EDM, OTT",R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2013,Alex Chiasson,DAL,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2013,Alex Galchenyuk,MTL,C,30,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,MTL,1,3,3
2013,Alex Goligoski,DAL,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2013,Alex Grant,ANA,D,35,1989-01-20,Antigonish,NS,CAN,CAN,75,210,2007,PIT,4,27,118
2013,Alex Khokhlachev,BOS,C,30,1993-09-09,Moscow,RUS,RUS,70,181,2011,BOS,2,10,40,
2013,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
2013,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2013,Alex Petrovic,FLA,D,32,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
2013,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2013,Alex Tanguay,COL,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2013,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2013,Alexander Semin,CAR,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2013,Alexander Steen,STL,L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2013,Alexander Sulzer,BUF,D,39,1984-05-30,Kaufbeuren,DEU,DEU,73,198,2003,NSH,3,24,92,
2013,Alexander Urbom,WSH,D,33,1990-12-20,Stockholm,SWE,SWE,76,215,2009,N.J,3,12,73,
2013,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2013,Alexei Emelin,MTL,D,37,1986-04-25,Togliatti,RUS,RUS,74,218,2004,MTL,3,19,84,
2013,Alexey Marchenko,DET,D,32,1992-01-02,Moscow,RUS,RUS,75,210,2011,DET,7,24,205,
2013,Anders Lee,NYI,L,33,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
2013,Andre Benoit,COL,D,40,1984-01-06,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
2013,Andrei Loktionov,"CAR, N.J",C,33,1990-05-30,Voskresensk,RUS,RUS,71,190,2008,L.A,5,2,123,
2013,Andrei Markov,MTL,D,45,1978-12-20,Voskresensk,RUS,RUS,72,200,1998,MTL,6,17,162,
2013,Andrej Meszaros,"BOS, PHI",D,38,1985-10-13,Povaská Bystrica,SVK,SVK,74,223,2004,OTT,1,23,23,
2013,Andrej Sekera,CAR,D,37,1986-06-08,Bojnice,SVK,SVK,72,200,2004,BUF,3,6,71,
2013,Andrej Sustr,T.B,D,33,1990-11-29,Plzen,CZE,CZE,79,217,-,-,-,-,-,
2013,Andrew Alberts,VAN,D,42,1981-06-30,Minneapolis,MN,USA,USA,77,218,2001,BOS,6,14,179
2013,Andrew Campbell,L.A,D,36,1988-02-04,Caledonia,ON,CAN,CAN,76,205,2008,L.A,3,13,74
2013,Andrew Cogliano,ANA,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2013,Andrew Desjardins,S.J,L,37,1986-07-27,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
2013,Andrew Ebbett,PIT,C,41,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2013,Andrew Ference,EDM,D,45,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2013,Andrew Ladd,WPG,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
