Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2015,Aaron Ekblad,FLA,D,28,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
2015,Aaron Ness,WSH,D,33,1990-05-18,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2015,Adam Clendening,"EDM, PIT",D,31,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,CHI,2,6,36
2015,Adam Cracknell,"EDM, VAN",R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2015,Adam Henrique,N.J,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2015,Adam Larsson,N.J,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2015,Adam Lowry,WPG,C,31,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
2015,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2015,Adam Pardy,"EDM, WPG",D,40,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2015,Adam Pelech,NYI,D,29,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
2015,Alan Quine,NYI,C,31,1993-02-25,Belleville,ON,CAN,CAN,72,203,2013,NYI,6,15,166
2015,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2015,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2015,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2015,Alex Biega,VAN,D,36,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
2015,Alex Chiasson,OTT,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2015,Alex Friesen,VAN,C,33,1991-01-30,St. Catharines,ON,CAN,CAN,69,186,2010,VAN,6,22,172
2015,Alex Galchenyuk,MTL,C,30,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,MTL,1,3,3
2015,Alex Goligoski,DAL,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2015,Alex Grant,ARI,D,35,1989-01-20,Antigonish,NS,CAN,CAN,75,210,2007,PIT,4,27,118
2015,Alex Khokhlachev,BOS,C,30,1993-09-09,Moscow,RUS,RUS,70,181,2011,BOS,2,10,40,
2015,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
2015,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2015,Alex Petrovic,FLA,D,32,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
2015,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
