PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Markus Granlund,-,23,"RW, LW, C",Left,VAN,Standard (1-way),23,,2,RFA,2018,"$900,000","$900,000","$850,000","$850,000",$0,$0
Tomas Jurco,-,23,"RW, LW",Left,DET,Standard (1-way),22,,2,RFA,2017,"$900,000","$900,000","$950,000","$950,000",$0,$0
Zach Hyman,EDM,24,"RW, LW",Right,TOR,Entry-Level,23,,2,RFA,2017,"$900,000","$900,000","$900,000","$810,000","$90,000",$0
Patrik Nemeth,-,24,LD,Left,DAL,Standard (1-way),23,,2,RFA,2017,"$900,000","$900,000","$900,000","$900,000",$0,$0
Jean-Gabriel Pageau,NYI,23,C,Right,OTT,Standard (1-way),22,,2,RFA,2017,"$900,000","$900,000","$1,100,000","$1,100,000",$0,$0
Jyrki Jokipakka,-,24,LD,Left,DAL,Standard (1-way),23,,2,UFANo QO,2017,"$900,000","$900,000","$900,000","$900,000",$0,$0
Ben Hutton,VGK,23,LD,Left,VAN,Entry-Level,22,,2,RFA,2017,"$896,250","$925,000","$925,000","$832,500","$92,500",$0
Zach Senyshyn,-,19,RW,Right,BOS,Entry-Level,18,,3,RFA,2020,"$894,167","$1,319,167",$0,"-$92,500","$92,500",$0
Jake DeBrusk,BOS,19,"RW, LW",Left,BOS,Entry-Level,18,,3,RFA,2020,"$894,167","$1,319,167",$0,"-$92,500","$92,500",$0
Anthony Beauvillier,NSH,19,"RW, LW",Left,NYI,Entry-Level,18,,3,RFA,2019,"$894,167","$1,106,667","$925,000","$832,500","$92,500","$212,500"
Evgeny Svechnikov,-,19,"LW, RW",Left,DET,Entry-Level,18,,3,10.2(c),2020,"$894,167","$1,106,667",$0,"-$92,500","$92,500",$0
Thomas Chabot,OTT,19,LD,Left,OTT,Entry-Level,18,,3,RFA,2020,"$894,167","$1,254,167",$0,"-$92,500","$92,500",$0
Mathew Barzal,NYI,19,"C, RW",Right,NYI,Entry-Level,18,,3,RFA,2020,"$894,167","$1,294,167",$0,"-$92,500","$92,500",$0
Nick Merkley,-,19,"RW, C",Right,ARI,Entry-Level,18,,3,RFA,2020,"$894,167","$1,106,667",$0,"-$92,500","$92,500",$0
Pavel Zacha,BOS,19,"C, LW",Left,NJD,Entry-Level,18,,3,RFA,2019,"$894,167","$1,744,167","$925,000","$832,500","$92,500","$850,000"
Mitchell Marner,TOR,19,RW,Right,TOR,Entry-Level,18,,3,RFA,2019,"$894,167","$1,744,167","$925,000","$832,500","$92,500","$850,000"
Travis Dermott,ARI,19,LD/RD,Left,TOR,Entry-Level,18,,3,RFA,2020,"$894,167","$894,167",$0,"-$92,500","$92,500",$0
Travis Konecny,PHI,19,"RW, LW",Right,PHI,Entry-Level,18,,3,RFA,2019,"$894,167","$1,106,667","$925,000","$832,500","$92,500",$0
Jakub Zboril,CBJ,19,LD/RD,Left,BOS,Entry-Level,18,,3,RFA,2020,"$894,167","$1,319,167",$0,"-$92,500","$92,500",$0
Lawson Crouse,ARI,19,"LW, RW",Left,FLA,Entry-Level,18,,3,RFA,2019,"$894,167","$1,602,500","$925,000","$832,500","$92,500","$637,500"
Timo Meier,NJD,19,"LW, RW",Left,SJS,Entry-Level,18,,3,RFA,2019,"$894,167","$1,644,167","$925,000","$832,500","$92,500","$650,000"
Ivan Provorov,CBJ,19,LD,Left,PHI,Entry-Level,18,,3,RFA,2019,"$894,167","$1,744,167","$925,000","$832,500","$92,500","$850,000"
