PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Alex Ovechkin,WSH,26,LW,Right,WSH,Standard (1-way),22,,13,UFA,2021,"$9,538,462","$9,538,462","$9,000,000","$9,000,000",$0,$0
Evgeni Malkin,PIT,25,C,Left,PIT,Standard (1-way),21,NMC,5,UFA,2014,"$8,700,000","$8,700,000","$9,000,000","$9,000,000",$0,$0
Sidney Crosby,PIT,24,C,Left,PIT,Standard (1-way),19,NMC,5,UFA,2013,"$8,700,000","$8,700,000","$7,500,000","$7,500,000",$0,$0
Eric Staal,-,27,C,Left,CAR,Standard (1-way),23,NTC,7,UFA,2016,"$8,250,000","$8,250,000","$8,500,000","$8,500,000",$0,$0
Shea Weber,ARI,26,RD,Right,NSH,Standard (1-way),26,,14,UFA,2026,"$7,857,143","$7,857,143","$14,000,000","$1,000,000","$13,000,000",$0
Rick Nash,-,28,"LW, RW",Left,CBJ,Standard (1-way),26,NMC,8,UFA,2018,"$7,800,000","$7,800,000","$7,600,000","$7,600,000",$0,$0
Vincent Lecavalier,-,32,"C, LW",Left,TBL,Standard (1-way),29,,11,UFA,2020,"$7,727,272","$7,727,272","$10,000,000","$7,000,000","$3,000,000",$0
Ryan Suter,DAL,27,LD,Left,MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0
Zach Parise,COL,27,LW,Left,MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0
Dany Heatley,-,31,LW,Left,OTT,Standard (1-way),26,NMC,6,UFA,2014,"$7,500,000","$7,500,000","$6,000,000","$6,000,000",$0,$0
Marián Gáborík,-,30,RW,Left,NYR,Standard (1-way),27,NTC,5,UFA,2014,"$7,500,000","$7,500,000","$7,500,000","$7,500,000",$0,$0
Steven Stamkos,TBL,22,"LW, C",Right,TBL,Standard (1-way),21,,5,UFA,2016,"$7,500,000","$7,500,000","$8,000,000","$5,000,000","$3,000,000",$0
Scott Gomez,-,32,C,Left,NYR,Standard (1-way),27,,7,UFA,2014,"$7,357,143","$7,357,143","$5,500,000","$5,500,000",$0,$0
Brian Campbell,-,33,LD,Left,CHI,Standard (1-way),29,M-NTC,8,UFA,2016,"$7,142,875","$7,142,875","$7,142,875","$7,142,875",$0,$0
Thomas Vanek,-,28,"LW, RW",Right,BUF,Standard (1-way),23,,7,UFA,2014,"$7,142,857","$7,142,857","$6,400,000","$6,400,000",$0,$0
Alexander Semin,-,28,"RW, LW",Right,CAR,Standard (1-way),28,,1,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
Pekka Rinne,-,29,G,Left,NSH,Standard (1-way),29,NMC,7,UFA,2019,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
Jarome Iginla,-,35,RW,Right,CGY,Standard (1-way),30,NMC,5,UFA,2013,"$7,000,000","$7,000,000","$7,000,000","$7,000,000",$0,$0
Joe Thornton,-,32,"C, LW",Left,SJS,Standard (1-way),31,NMC,3,UFA,2014,"$7,000,000","$7,000,000","$7,000,000","$6,000,000","$1,000,000",$0
Drew Doughty,LAK,22,RD,Right,LAK,Standard (1-way),21,,8,UFA,2019,"$7,000,000","$7,000,000","$6,500,000","$6,500,000",$0,$0
Jason Spezza,-,29,"C, RW",Right,OTT,Standard (1-way),25,"M-NTC, NMC",7,UFA,2015,"$7,000,000","$7,000,000","$8,000,000","$8,000,000",$0,$0
Zdeno Chara,-,35,LD,Left,BOS,Standard (1-way),33,NMC,7,UFA,2018,"$6,916,667","$6,916,667","$6,000,000","$6,000,000",$0,$0
Patrick Marleau,-,32,"LW, C",Left,SJS,Standard (1-way),30,NMC,4,UFA,2014,"$6,900,000","$6,900,000","$6,900,000","$5,520,000","$1,380,000",$0
Henrik Lundqvist,-,30,G,Left,NYR,Standard (1-way),25,,6,UFA,2014,"$6,875,000","$6,875,000","$6,875,000","$6,875,000",$0,$0
Anze Kopitar,LAK,24,C,Left,LAK,Standard (1-way),21,,7,UFA,2016,"$6,800,000","$6,800,000","$6,500,000","$6,500,000",$0,$0
Mikko Koivu,-,29,C,Left,MIN,Standard (1-way),27,NMC,7,UFA,2018,"$6,750,000","$6,750,000","$5,400,000","$5,400,000",$0,$0
Pavel Datsyuk,-,33,"C, LW",Left,DET,Standard (1-way),28,M-NTC,7,UFA,2014,"$6,700,000","$6,700,000","$6,700,000","$6,700,000",$0,$0
Nicklas Bäckström,WSH,24,C,Left,WSH,Standard (1-way),22,,10,UFA,2020,"$6,700,000","$6,700,000","$6,000,000","$6,000,000",$0,$0
Jay Bouwmeester,-,28,LD,Left,CGY,Standard (1-way),25,,5,UFA,2014,"$6,680,000","$6,680,000","$6,600,000","$6,600,000",$0,$0
Brad Richards,-,32,"C, LW",Left,NYR,Standard (1-way),31,,9,UFA,2020,"$6,666,666","$6,666,666","$12,000,000","$4,000,000","$8,000,000",$0
Dan Boyle,-,35,LD,Right,TBL,Standard (1-way),31,M-NTC,6,UFA,2014,"$6,666,666","$6,666,666","$6,666,666","$6,666,666",$0,$0
Ilya Kovalchuk,-,29,"LW, RW",Right,NJD,Standard (1-way),27,,15,UFA,2025,"$6,666,666","$6,666,666","$11,000,000","$11,000,000",$0,$0
Paul Stastny,-,26,"C, LW",Left,COL,Standard (1-way),22,,5,UFA,2014,"$6,600,000","$6,600,000","$6,600,000","$6,600,000",$0,$0
Wade Redden,-,35,D,Left,NYR,Standard (1-way),31,,6,UFA,2014,"$6,500,000","$6,500,000","$5,000,000","$5,000,000",$0,$0
Carey Price,MTL,24,G,Left,MTL,Standard (1-way),24,,6,UFA,2018,"$6,500,000","$6,500,000","$5,500,000","$3,500,000","$2,000,000",$0
Dion Phaneuf,-,27,LD,Left,CGY,Standard (1-way),22,,6,UFA,2014,"$6,500,000","$6,500,000","$6,500,000","$6,500,000",$0,$0
Daniel Brière,-,34,C,Right,PHI,Standard (1-way),29,,8,UFA,2015,"$6,500,000","$6,500,000","$7,000,000","$7,000,000",$0,$0
Erik Karlsson,PIT,22,RD,Right,OTT,Standard (1-way),22,,7,UFA,2019,"$6,500,000","$6,500,000","$5,000,000","$4,000,000","$1,000,000",$0
Kimmo Timonen,-,37,D,Left,PHI,Standard (1-way),32,NMC,6,UFA,2013,"$6,333,333","$6,333,333","$3,000,000","$3,000,000",$0,$0
Cam Ward,-,28,G,Left,CAR,Standard (1-way),25,NTC,6,UFA,2016,"$6,300,000","$6,300,000","$6,400,000","$6,400,000",$0,$0
Jonathan Toews,-,24,C,Left,CHI,Standard (1-way),21,,5,UFA,2015,"$6,300,000","$6,300,000","$6,000,000","$6,000,000",$0,$0
Patrick Kane,DET,23,RW,Left,CHI,Standard (1-way),21,,5,UFA,2015,"$6,300,000","$6,300,000","$6,000,000","$6,000,000",$0,$0
Ryan Miller,-,31,G,Left,BUF,Standard (1-way),28,M-NTC,5,UFA,2014,"$6,250,000","$6,250,000","$6,250,000","$6,250,000",$0,$0
Daniel Sedin,-,31,LW,Left,VAN,Standard (1-way),28,NMC,5,UFA,2014,"$6,100,000","$6,100,000","$6,100,000","$6,100,000",$0,$0
Henrik Sedin,-,31,C,Left,VAN,Standard (1-way),28,NMC,5,UFA,2014,"$6,100,000","$6,100,000","$6,100,000","$6,100,000",$0,$0
Henrik Zetterberg,-,31,C,Left,DET,Standard (1-way),28,,12,UFA,2021,"$6,083,333","$6,083,333","$7,750,000","$7,750,000",$0,$0
Mike Green,-,26,RD,Right,WSH,Standard (1-way),26,M-NTC,3,UFA,2015,"$6,083,333","$6,083,333","$6,000,000","$6,000,000",$0,$0
Mike Cammalleri,-,30,"LW, C",Left,MTL,Standard (1-way),27,M-NTC,5,UFA,2014,"$6,000,000","$6,000,000","$7,000,000","$7,000,000",$0,$0
Patrik Elias,-,36,"C, LW",Left,NJD,Standard (1-way),30,NMC,7,UFA,2013,"$6,000,000","$6,000,000","$5,000,000","$5,000,000",$0,$0
Niklas Bäckström,-,34,G,Left,MIN,Standard (1-way),31,,4,UFA,2013,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",$0,$0
Patrick Sharp,-,30,"LW, C",Right,CHI,Standard (1-way),29,"M-NTC, NMC",5,UFA,2017,"$5,900,000","$5,900,000","$6,000,000","$2,000,000","$4,000,000",$0
Miikka Kiprusoff,-,35,G,Left,CGY,Standard (1-way),30,NMC,6,UFA,2014,"$5,833,333","$5,833,333","$5,000,000","$5,000,000",$0,$0
Brent Seabrook,TBL,27,RD,Right,CHI,Standard (1-way),26,M-NTC,5,UFA,2016,"$5,800,000","$5,800,000","$7,000,000","$5,000,000","$2,000,000",$0
Brent Burns,CAR,27,RD,Right,SJS,Standard (1-way),27,M-NTC,5,UFA,2017,"$5,760,000","$5,760,000","$5,760,000","$5,760,000",$0,$0
Mike Richards,-,27,C,Left,PHI,Standard (1-way),23,NMC,12,UFA,2020,"$5,750,000","$5,750,000","$8,400,000","$8,400,000",$0,$0
Andrei Markov,-,33,LD,Left,MTL,Standard (1-way),32,M-NTC,3,UFA,2014,"$5,750,000","$5,750,000","$5,750,000","$5,750,000",$0,$0
Ilya Bryzgalov,-,32,G,Left,PHI,Standard (1-way),31,,9,UFA,2020,"$5,666,667","$5,666,667","$6,500,000","$6,500,000",$0,$0
Martin St. Louis,-,37,RW,Left,TBL,35+ (1-way),35,NMC,4,UFA,2015,"$5,625,000","$5,625,000","$5,500,000","$3,500,000","$2,000,000",$0
Lubomir Visnovsky,-,35,RD,Left,LAK,Standard (1-way),30,,5,UFA,2013,"$5,600,000","$5,600,000","$3,000,000","$3,000,000",$0,$0
Duncan Keith,-,28,LD,Left,CHI,Standard (1-way),26,NMC,13,UFA,2023,"$5,538,462","$5,538,462","$8,000,000","$6,500,000","$1,500,000",$0
John Tavares,TOR,21,"C, LW",Left,NYI,Standard (1-way),20,,6,UFA,2018,"$5,500,000","$5,500,000","$4,000,000","$4,000,000",$0,$0
Mikhail Grabovski,-,28,"C, RW",Left,TOR,Standard (1-way),28,,5,UFA,2017,"$5,500,000","$5,500,000","$6,000,000","$4,500,000","$1,500,000",$0
Sergei Gonchar,-,38,LD,Left,OTT,35+ (1-way),36,"M-NTC, NMC",3,UFA,2013,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",$0,$0
Shawn Horcoff,-,33,C,Left,EDM,Standard (1-way),30,NMC,6,UFA,2015,"$5,500,000","$5,500,000","$6,000,000","$6,000,000",$0,$0
Matthew Carle,-,27,LD,Left,TBL,Standard (1-way),27,M-NTC,6,UFA,2018,"$5,500,000","$5,500,000","$5,000,000","$2,000,000","$3,000,000",$0
Tyler Myers,VAN,22,RD,Right,BUF,Standard (1-way),22,,7,UFA,2019,"$5,500,000","$5,500,000","$12,000,000","$2,000,000","$10,000,000",$0
James Wisniewski,-,28,RD,Right,CBJ,Standard (1-way),27,"M-NTC, NMC",6,UFA,2017,"$5,500,000","$5,500,000","$7,000,000","$4,000,000","$3,000,000",$0
Phil Kessel,-,24,RW,Right,TOR,Standard (1-way),21,,5,UFA,2014,"$5,400,000","$5,400,000","$5,100,000","$5,100,000",$0,$0
Roberto Luongo,-,33,G,Left,VAN,Standard (1-way),31,NTC,12,UFA,2022,"$5,333,333","$5,333,333","$6,714,000","$6,714,000",$0,$0
Corey Perry,EDM,27,RW,Right,ANA,Standard (1-way),23,NMC,5,UFA,2013,"$5,325,000","$5,325,000","$4,875,000","$4,875,000",$0,$0
Ryan Getzlaf,-,27,C,Right,ANA,Standard (1-way),23,NMC,5,UFA,2013,"$5,325,000","$5,325,000","$6,125,000","$6,125,000",$0,$0
Jason Pominville,-,29,RW,Right,BUF,Standard (1-way),25,"M-NTC, NMC",5,UFA,2014,"$5,300,000","$5,300,000","$5,500,000","$5,500,000",$0,$0
Shane Doan,-,35,"RW, LW",Right,ARI,35+ (1-way),35,NMC,4,UFA,2016,"$5,300,000","$5,300,000","$6,050,000","$4,050,000","$2,000,000",$0
Marián Hossa,-,33,RW,Left,CHI,Standard (1-way),30,NMC,12,UFA,2021,"$5,275,000","$5,275,000","$7,900,000","$7,900,000",$0,$0
Jeff Carter,PIT,27,"RW, C",Right,PHI,Standard (1-way),25,,11,UFA,2022,"$5,272,727","$5,272,727","$6,250,000","$6,250,000",$0,$0
Evander Kane,EDM,20,"LW, RW",Left,WPG,Standard (1-way),21,,6,UFA,2018,"$5,250,000","$5,250,000","$3,000,000","$3,000,000",$0,$0
David Krejci,-,26,C,Right,BOS,Standard (1-way),25,,3,UFA,2015,"$5,250,000","$5,250,000","$5,250,000","$5,250,000",$0,$0
Keith Yandle,-,25,LD,Left,ARI,Standard (1-way),24,,5,UFA,2016,"$5,250,000","$5,250,000","$5,000,000","$5,000,000",$0,$0
Dennis Wideman,-,29,RD,Right,CGY,Standard (1-way),29,NMC,5,UFA,2017,"$5,250,000","$5,250,000","$5,000,000","$5,000,000",$0,$0
Jamie Benn,DAL,22,"LW, C",Left,DAL,Standard (1-way),22,,5,UFA,2017,"$5,250,000","$5,250,000","$4,500,000","$4,500,000",$0,$0
Dustin Byfuglien,-,27,RD,Right,ATL,Standard (1-way),25,M-NTC,5,UFA,2016,"$5,200,000","$5,200,000","$4,250,000","$4,250,000",$0,$0
Bobby Ryan,-,25,"RW, LW",Right,ANA,Standard (1-way),23,,5,UFA,2015,"$5,100,000","$5,100,000","$5,562,500","$5,562,500",$0,$0
Tim Thomas,-,38,G,Left,BOS,35+ (1-way),34,"NTC, NMC",4,UFA,2013,"$5,000,000","$5,000,000","$3,000,000","$3,000,000",$0,$0
Marc-André Fleury,MIN,27,G,Left,PIT,Standard (1-way),23,"M-NTC, NMC",7,UFA,2015,"$5,000,000","$5,000,000","$5,500,000","$5,500,000",$0,$0
Paul Martin,-,31,LD,Left,PIT,Standard (1-way),29,"M-NTC, NMC",5,UFA,2015,"$5,000,000","$5,000,000","$4,000,000","$4,000,000",$0,$0
Brian Gionta,-,33,RW,Right,MTL,Standard (1-way),30,NTC,5,UFA,2014,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
Patrice Bergeron,-,26,C,Right,BOS,Standard (1-way),25,NMC,3,UFA,2014,"$5,000,000","$5,000,000","$4,550,000","$3,550,000","$1,000,000",$0
Tomas Plekanec,-,29,C,Left,MTL,Standard (1-way),27,M-NTC,6,UFA,2016,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
Mike Ribeiro,-,32,C,Left,DAL,Standard (1-way),27,M-NTC,5,UFA,2013,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
James Neal,-,24,"RW, LW",Left,PIT,Standard (1-way),24,,6,UFA,2018,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0
Ryan O'Reilly,NSH,21,C,Left,COL,Standard (1-way),21,,2,RFA,2014,"$5,000,000","$5,000,000","$3,500,000","$1,000,000","$2,500,000",$0
