PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Ville Leino,-,24,LW,Left,DET,Entry-Level,24,,1,RFA,2009,"$875,000","$875,000","$875,000","$875,000",$0,$0,2009,0.02144607843137255
Tom McCollum,-,18,G,Left,DET,Entry-Level,18,,3,RFA,2013,"$875,000","$875,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Zach Boychuk,-,18,"LW, RW",Left,CAR,Entry-Level,18,,3,RFA,2012,"$875,000","$1,225,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Stu Bickel,-,21,"D, RW",Right,ANA,Entry-Level,21,,3,RFA,2011,"$875,000","$1,375,000","$875,000","$787,500","$87,500",$0,2009,0.02144607843137255
Josh Bailey,-,18,"RW, LW, C",Left,NYI,Entry-Level,18,,3,RFA,2011,"$875,000","$1,725,000","$875,000","$787,500","$87,500","$850,000",2009,0.02144607843137255
Zach Bogosian,MIN,17,RD,Right,ATL,Entry-Level,18,,3,RFA,2011,"$875,000","$3,375,000","$875,000","$787,500","$87,500","$2,500,000",2009,0.02144607843137255
Cody Hodgson,-,18,"C, RW",Right,VAN,Entry-Level,18,,3,RFA,2013,"$875,000","$1,725,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Jack Hillen,-,22,D,Left,NYI,Entry-Level,22,,2,RFA,2009,"$875,000","$1,125,000","$875,000","$787,500","$87,500","$500,000",2009,0.02144607843137255
Lars Eller,PIT,19,C,Left,STL,Entry-Level,19,,3,RFA,2012,"$875,000","$1,300,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Max Pacioretty,WSH,19,LW,Left,MTL,Entry-Level,20,,3,RFA,2011,"$875,000","$910,000","$875,000","$787,500","$87,500","$105,000",2009,0.02144607843137255
Antti Niemi,-,24,G,Left,CHI,Entry-Level,25,,1,RFA,2009,"$875,000","$1,512,500","$875,000","$787,500","$87,500","$637,500",2009,0.02144607843137255
Luke Schenn,NSH,18,RD,Right,TOR,Entry-Level,18,,3,RFA,2011,"$875,000","$2,975,000","$875,000","$787,500","$87,500","$2,100,000",2009,0.02144607843137255
Sam Gagner,EDM,18,"RW, C",Right,EDM,Entry-Level,18,,3,RFA,2010,"$875,000","$1,625,000","$875,000","$875,000",$0,"$750,000",2009,0.02144607843137255
Jake Allen,NJD,17,G,Left,STL,Entry-Level,18,,3,RFA,2013,"$875,000","$875,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Alex Pietrangelo,VGK,18,RD,Right,STL,Entry-Level,18,,3,RFA,2013,"$875,000","$3,225,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Chris Porter,-,24,LW,Left,STL,Entry-Level,23,,2,RFA,2009,"$875,000","$875,000","$875,000","$787,500","$87,500",$0,2009,0.02144607843137255
John Carlson,WSH,18,RD,Right,WSH,Entry-Level,18,,3,RFA,2012,"$875,000","$875,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Karl Alzner,-,19,LD,Left,WSH,Entry-Level,20,,3,RFA,2011,"$875,000","$1,675,000","$875,000","$787,500","$87,500","$750,000",2009,0.02144607843137255
Patrick Kane,DET,19,RW,Left,CHI,Entry-Level,18,,3,RFA,2010,"$875,000","$3,725,000","$875,000","$875,000",$0,"$2,850,000",2009,0.02144607843137255
Drew Doughty,LAK,18,RD,Right,LAK,Entry-Level,18,,3,RFA,2011,"$875,000","$3,475,000","$875,000","$787,500","$87,500","$2,600,000",2009,0.02144607843137255
Mikael Backlund,CGY,19,C,Left,CGY,Entry-Level,19,,3,RFA,2012,"$875,000","$1,300,000",$0,"-$87,500","$87,500",$0,2009,0.02144607843137255
Jason Garrison,-,23,LD,Left,FLA,Entry-Level,23,,2,RFA,2010,"$875,000","$1,077,500","$875,000","$875,000",$0,"$405,000",2009,0.02144607843137255
