PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Simon Gagne,-,29,RW,Left,PHI,Standard (1-way),26,NMC,5,UFA,2011,"$5,250,000","$5,250,000","$5,250,000","$5,250,000",$0,$0,2009-10,0.09242957746478873,56800000
Mike Green,-,23,RD,Right,WSH,Standard (1-way),22,,4,RFA,2012,"$5,250,000","$5,250,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.09242957746478873,56800000
Martin St. Louis,-,34,RW,Left,TBL,Standard (1-way),30,NTC,6,UFA,2011,"$5,250,000","$5,250,000","$4,000,000","$4,000,000",$0,$0,2009-10,0.09242957746478873,56800000
Olli Jokinen,-,30,C,Left,FLA,Standard (1-way),27,,4,RFA,2010,"$5,250,000","$5,250,000","$5,500,000","$5,500,000",$0,$0,2009-10,0.09242957746478873,56800000
Martin Brodeur,-,37,G,Left,NJD,Standard (1-way),33,NTC,6,UFA,2012,"$5,200,000","$5,200,000","$5,200,000","$5,200,000",$0,$0,2009-10,0.09154929577464789,56800000
Brian Rolston,-,36,LW,Left,NJD,35+ (1-way),35,,4,UFA,2012,"$5,062,500","$5,062,500","$5,000,000","$5,000,000",$0,$0,2009-10,0.08912852112676056,56800000
Pavel Kubina,-,32,D,Right,TOR,Standard (1-way),29,M-NTC,4,UFA,2010,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Tim Thomas,-,35,G,Left,BOS,35+ (1-way),34,"NTC, NMC",4,UFA,2013,"$5,000,000","$5,000,000","$6,000,000","$6,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Alexei Kovalev,-,36,RW,Left,OTT,35+ (1-way),36,NMC,2,UFA,2011,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Marc-André Fleury,MIN,24,G,Left,PIT,Standard (1-way),23,NMC,7,UFA,2015,"$5,000,000","$5,000,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.0880281690140845,56800000
Marc Savard,-,31,C,Left,BOS,Standard (1-way),28,NTC,4,UFA,2010,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Brian Gionta,-,30,RW,Right,MTL,Standard (1-way),30,NTC,5,UFA,2014,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Sergei Gonchar,-,35,LD,Left,PIT,Standard (1-way),31,NTC,5,UFA,2010,"$5,000,000","$5,000,000","$5,500,000","$5,500,000",$0,$0,2009-10,0.0880281690140845,56800000
Mike Ribeiro,-,29,C,Left,DAL,Standard (1-way),27,M-NTC,5,UFA,2013,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Michal Rozsíval,-,30,RD,Right,NYR,Standard (1-way),29,M-NTC,4,UFA,2012,"$5,000,000","$5,000,000","$6,000,000","$6,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Jeff Carter,PIT,24,"RW, C",Right,PHI,Standard (1-way),23,,3,RFA,2011,"$5,000,000","$5,000,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.0880281690140845,56800000
Michael Nylander,-,36,C,Left,WSH,Standard (1-way),34,NMC,4,UFA,2011,"$4,875,000","$4,875,000","$5,500,000","$5,500,000",$0,$0,2009-10,0.08582746478873239,56800000
Daniel Alfredsson,-,36,RW,Right,OTT,35+ (1-way),36,,4,UFA,2013,"$4,875,000","$4,875,000","$7,000,000","$7,000,000",$0,$0,2009-10,0.08582746478873239,56800000
Patrice Bergeron,-,23,C,Right,BOS,Standard (1-way),21,,5,UFA,2011,"$4,750,000","$4,750,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.08362676056338028,56800000
Andy McDonald,-,31,C,Left,STL,Standard (1-way),31,,4,UFA,2013,"$4,700,000","$4,700,000","$5,200,000","$5,200,000",$0,$0,2009-10,0.08274647887323944,56800000
Alexander Semin,-,25,"RW, LW",Right,WSH,Standard (1-way),23,,2,RFA,2010,"$4,600,000","$4,600,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.08098591549295775,56800000
Shane Doan,-,32,"RW, LW",Right,ARI,Standard (1-way),30,NMC,5,UFA,2012,"$4,550,000","$4,550,000","$4,550,000","$4,550,000",$0,$0,2009-10,0.0801056338028169,56800000
Ryan Malone,-,29,LW,Left,TBL,Standard (1-way),28,NMC,7,UFA,2015,"$4,500,000","$4,500,000","$6,000,000","$6,000,000",$0,$0,2009-10,0.07922535211267606,56800000
Tim Connolly,-,28,C,Right,BUF,Standard (1-way),27,,2,UFA,2011,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07922535211267606,56800000
Jason Arnott,-,34,C,Right,NSH,Standard (1-way),31,NMC,5,UFA,2011,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07922535211267606,56800000
Ron Hainsey,-,28,RD,Left,ATL,Standard (1-way),27,M-NTC,5,UFA,2013,"$4,500,000","$4,500,000","$5,000,000","$5,000,000",$0,$0,2009-10,0.07922535211267606,56800000
Shea Weber,ARI,23,RD,Right,NSH,Standard (1-way),22,,3,RFA,2011,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07922535211267606,56800000
Scott Hannan,-,30,D,Left,COL,Standard (1-way),28,NMC,4,UFA,2011,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.07922535211267606,56800000
