Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2022,A.J. Greer,BOS,L,27,1996-12-14,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
2022,Aaron Ekblad,FLA,D,28,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
2022,Aatu Raty,"NYI, VAN",C,21,2002-11-14,Oulu,FIN,FIN,74,190,2021,NYI,2,20,52,
2022,Adam Beckman,MIN,L,22,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,MIN,3,13,75
2022,Adam Boqvist,CBJ,D,23,2000-08-15,Falun,SWE,SWE,72,182,2018,CHI,1,8,8,
2022,Adam Erne,DET,L,28,1995-04-20,New Haven,CT,USA,USA,73,212,2013,T.B,2,3,33
2022,Adam Fox,NYR,D,26,1998-02-17,Jericho,NY,USA,USA,71,182,2016,CGY,3,5,66
2022,Adam Ginning,PHI,D,24,2000-01-13,Linkoping,SWE,SWE,75,188,2018,PHI,2,19,50,
2022,Adam Henrique,ANA,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2022,Adam Larsson,SEA,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2022,Adam Lowry,WPG,C,30,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
2022,Adam Pelech,NYI,D,29,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
2022,Adam Raska,S.J,R,22,2001-09-25,Frydek-Mistek,CZE,CZE,70,178,2020,S.J,7,15,201,
2022,Adam Ruzicka,CGY,C,24,1999-05-11,Bratislava,SVK,SVK,76,215,2017,CGY,4,16,109,
2022,Adrian Kempe,L.A,"C, R",27,1996-09-13,Kramfors,SWE,SWE,74,200,2014,L.A,1,29,29,
2022,Aidan McDonough,VAN,L,24,1999-11-06,Milton,MA,USA,USA,75,190,2019,VAN,7,9,195
2022,Akito Hirose,VAN,D,24,1999-04-09,CALGARY,AB,CAN,CAN,72,170,-,-,-,-,-
2022,Alec Martinez,VGK,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2022,Alec Regula,CHI,D,23,2000-08-06,West Bloomfield,MI,USA,USA,76,208,2018,DET,3,5,67
2022,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2022,Aleksi Heponiemi,FLA,C,25,1999-01-09,Tampere,FIN,FIN,70,155,2017,FLA,2,9,40,
2022,Alex Barré-Boulet,T.B,C,26,1997-05-21,Montmagny,QC,CAN,CAN,70,180,-,-,-,-,-
2022,Alex Belzile,MTL,R,32,1991-08-31,Rivière-du-Loup,QC,CAN,CAN,72,196,-,-,-,-,-
2022,Alex Chiasson,DET,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2022,Alex DeBrincat,OTT,R,26,1997-12-18,Farmington Hills,MI,USA,USA,68,178,2016,CHI,2,9,39
2022,Alex Galchenyuk,COL,C,30,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,MTL,1,3,3
2022,Alex Goligoski,MIN,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2022,Alex Iafallo,L.A,L,30,1993-12-21,Eden,NY,USA,USA,72,200,-,-,-,-,-
2022,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
2022,Alex Newhook,COL,C,23,2001-01-28,St. John's,NL,CAN,CAN,70,190,2019,COL,1,16,16
2022,Alex Nylander,PIT,L,26,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
2022,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2022,Alex Pietrangelo,VGK,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2022,Alex Steeves,TOR,C,24,1999-12-10,Bedford,NH,USA,USA,72,196,-,-,-,-,-
2022,Alex Tuch,BUF,R,27,1996-05-10,Syracuse,NY,USA,USA,76,219,2014,MIN,1,18,18
2022,Alex Turcotte,L.A,C,23,2001-02-26,Elk Grove,IL,USA,USA,71,185,2019,L.A,1,5,5
2022,Alex Vlasic,CHI,D,22,2001-06-05,Wilmette,IL,USA,USA,78,199,2019,CHI,2,12,43
2022,Alex Wennberg,SEA,C,29,1994-09-22,Stockholm,SWE,SWE,74,190,2013,CBJ,1,14,14,
2022,Alexander Alexeyev,WSH,D,24,1999-11-15,St. Petersburg,RUS,RUS,76,213,2018,WSH,1,31,31,
2022,Alexander Barabanov,S.J,L,29,1994-06-17,St. Petersburg,RUS,RUS,70,195,-,-,-,-,-,
2022,Alexander Edler,L.A,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2022,Alexander Holtz,N.J,R,22,2002-01-23,Stockholm,SWE,SWE,72,195,2020,N.J,1,7,7,
2022,Alexander Kerfoot,TOR,C,29,1994-08-11,Vancouver,BC,CAN,CAN,71,186,2012,N.J,5,29,150
2022,Alexander Romanov,NYI,D,24,2000-01-06,Moscow,RUS,RUS,73,215,2018,MTL,2,7,38,
2022,Alexandre Carrier,NSH,D,27,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
2022,Alexey Toropchenko,STL,R,24,1999-06-25,Moscow,RUS,RUS,78,222,2017,STL,4,20,113,
2022,Alexis Lafrenière,NYR,L,22,2001-10-11,St-Eustache,QC,CAN,CAN,73,195,2020,NYR,1,1,1
2022,Aliaksei Protas,WSH,C,23,2001-01-06,VITEBSK,BLR,BLR,78,225,2019,WSH,3,29,91,
2022,Anders Bjork,"BUF, CHI",L,27,1996-08-05,Mequon,WI,USA,USA,72,190,2014,BOS,5,26,146
2022,Anders Lee,NYI,L,33,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
2022,Andre Burakovsky,SEA,L,29,1995-02-09,Klagenfurt,AUT,SWE,75,209,2013,WSH,1,23,23,
2022,Andreas Athanasiou,CHI,C,29,1994-08-06,London,ON,CAN,CAN,74,190,2012,DET,4,19,110
2022,Andreas Englund,"CHI, COL",D,28,1996-01-21,Stockholm,SWE,SWE,75,189,2014,OTT,2,10,40,
2022,Andreas Johnsson,"N.J, S.J",L,29,1994-11-21,Gävle,SWE,SWE,70,195,2013,TOR,7,21,202,
2022,Andrei Kuzmenko,VAN,L,28,1996-02-04,YAKUTSK,RUS,RUS,71,194,-,-,-,-,-,
2022,Andrei Svechnikov,CAR,R,23,2000-03-26,Barnual,RUS,RUS,74,195,2018,CAR,1,2,2,
2022,Andrew Agozzino,S.J,L,33,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,-,-,-,-,-
2022,Andrew Cogliano,COL,C,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2022,Andrew Copp,DET,C,29,1994-07-08,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
2022,Andrew Mangiapane,CGY,L,27,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,CGY,6,15,166
2022,Andrew Peeke,CBJ,D,26,1998-03-17,Parkland,FL,USA,USA,75,210,2016,CBJ,2,4,34
2022,Andy Andreoff,NYI,C,32,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,L.A,3,19,80
2022,Anthony Beauvillier,"NYI, VAN",L,26,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,NYI,1,28,28
2022,Anthony Cirelli,T.B,C,26,1997-07-15,Etobicoke,ON,CAN,CAN,72,189,2015,T.B,3,11,72
2022,Anthony Duclair,FLA,L,28,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
2022,Anthony Mantha,WSH,R,29,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,DET,1,20,20
2022,Anthony Richard,MTL,C,27,1996-12-20,Trois-Rivieres,QC,CAN,CAN,71,183,2015,NSH,4,9,100
2022,Anton Blidh,COL,L,29,1995-03-14,Molnlycke,SWE,SWE,73,197,2013,BOS,6,29,180,
2022,Anton Levtchi,FLA,L,28,1995-11-28,Varkaus,FIN,FIN,72,185,-,-,-,-,-,
2022,Anton Lundell,FLA,C,22,2001-10-03,Espoo,FIN,FIN,73,185,2020,FLA,1,12,12,
2022,Anton Stralman,BOS,D,37,1986-08-01,Tibro,SWE,SWE,71,193,2005,TOR,7,22,216,
2022,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,SVN,SVN,75,225,2005,L.A,1,11,11,
2022,Arber Xhekaj,MTL,D,23,2001-01-30,Hamilton,ON,CAN,CAN,76,238,-,-,-,-,-
2022,Arnaud Durandeau,NYI,L,25,1999-01-14,Montreal,QC,CAN,CAN,72,185,2017,NYI,6,10,165
2022,Artem Zub,OTT,D,28,1995-10-03,Khabarovsk,RUS,RUS,74,200,-,-,-,-,-,
2022,Artemi Panarin,NYR,L,32,1991-10-30,Korkino,RUS,RUS,72,173,-,-,-,-,-,
2022,Arthur Kaliyev,L.A,R,22,2001-06-26,New York City,USA,USA,74,210,2019,L.A,2,2,33,
2022,Artturi Lehkonen,COL,L,28,1995-07-04,Piikkio,FIN,FIN,71,179,2013,MTL,2,25,55,
2022,Austin Czarnik,DET,C,31,1992-12-12,Detroit,MI,USA,USA,69,170,-,-,-,-,-
2022,Austin Strand,ANA,D,27,1997-02-17,Calgary,AB,CAN,75,215,-,-,-,-,-,
2022,Austin Wagner,CHI,L,26,1997-06-23,Calgary,AB,CAN,CAN,73,195,2015,L.A,4,8,99
2022,Austin Watson,OTT,L,32,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
2022,Auston Matthews,TOR,C,26,1997-09-17,San Ramon,CA,USA,USA,75,208,2016,TOR,1,1,1
