Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2014,Aaron Ekblad,FLA,D,28,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
2014,Aaron Volpatti,WSH,L,38,1985-05-30,Revelstoke,BC,CAN,CAN,72,215,-,-,-,-,-
2014,Adam Burish,S.J,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2014,Adam Clendening,"CHI, VAN",D,31,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,CHI,2,6,36
2014,Adam Cracknell,CBJ,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2014,Adam Henrique,N.J,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2014,Adam Larsson,N.J,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2014,Adam Lowry,WPG,C,30,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
2014,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2014,Adam Pardy,WPG,D,39,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2014,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2014,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2014,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2014,Alex Biega,VAN,D,35,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
2014,Alex Chiasson,OTT,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2014,Alex Galchenyuk,MTL,C,30,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,MTL,1,3,3
2014,Alex Goligoski,DAL,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2014,Alex Khokhlachev,BOS,C,30,1993-09-09,Moscow,RUS,RUS,70,181,2011,BOS,2,10,40,
2014,Alex Killorn,T.B,L,34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
2014,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2014,Alex Petrovic,FLA,D,32,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
2014,Alex Pietrangelo,STL,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2014,Alex Tanguay,COL,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2014,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2014,Alexander Semin,CAR,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2014,Alexander Steen,STL,L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2014,Alexander Wennberg,CBJ,C,29,1994-09-22,Stockholm,SWE,SWE,74,190,2013,CBJ,1,14,14,
2014,Alexandre Bolduc,ARI,C,38,1985-06-26,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
2014,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2014,Alexei Emelin,MTL,D,37,1986-04-25,Togliatti,RUS,RUS,74,218,2004,MTL,3,19,84,
2014,Alexey Marchenko,DET,D,32,1992-01-02,Moscow,RUS,RUS,75,210,2011,DET,7,24,205,
2014,Anders Lee,NYI,L,33,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
2014,Andre Benoit,BUF,D,40,1984-01-06,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
2014,Andre Burakovsky,WSH,L,29,1995-02-09,Klagenfurt,AUT,SWE,75,209,2013,WSH,1,23,23,
2014,Andrei Markov,MTL,D,45,1978-12-20,Voskresensk,RUS,RUS,72,200,1998,MTL,6,17,162,
2014,Andrej Meszaros,BUF,D,38,1985-10-13,Povaská Bystrica,SVK,SVK,74,223,2004,OTT,1,23,23,
2014,Andrej Nestrasil,"CAR, DET",C,33,1991-02-22,Prague,CZE,CZE,75,200,2009,DET,3,14,75,
2014,Andrej Sekera,"CAR, L.A",D,37,1986-06-08,Bojnice,SVK,SVK,72,200,2004,BUF,3,6,71,
2014,Andrej Sustr,T.B,D,33,1990-11-29,Plzen,CZE,CZE,79,217,-,-,-,-,-,
2014,Andrew Agozzino,COL,L,33,1991-01-03,Kleinburg,ON,CAN,CAN,70,187,-,-,-,-,-
2014,Andrew Campbell,ARI,D,36,1988-02-04,Caledonia,ON,CAN,CAN,76,205,2008,L.A,3,13,74
2014,Andrew Cogliano,ANA,L,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2014,Andrew Copp,WPG,C,29,1994-07-08,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
2014,Andrew Desjardins,"CHI, S.J",L,37,1986-07-27,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
2014,Andrew Ebbett,PIT,C,41,1983-01-02,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2014,Andrew Ference,EDM,D,45,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2014,Andrew Ladd,WPG,L,38,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,CAR,1,4,4
2014,Andrew MacDonald,PHI,D,37,1986-09-07,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2014,Andrew MacWilliam,TOR,D,33,1990-03-25,Calgary,AB,CAN,CAN,74,223,2008,TOR,7,7,188
2014,Andrew Miller,EDM,C,35,1988-09-18,Bloomfield Hills,MI,USA,USA,70,181,-,-,-,-,-
2014,Andrew Shaw,CHI,C,32,1991-07-20,Belleville,ON,CAN,CAN,71,182,2011,CHI,5,18,139
2014,Andy Andreoff,L.A,L,32,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,L.A,3,19,80
2014,Andy Greene,N.J,D,41,1982-10-30,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2014,Anthony Bitetto,NSH,D,33,1990-07-15,Island Park,NY,USA,USA,73,222,2010,NSH,6,18,168
2014,Anthony Duclair,NYR,L,28,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
2014,Anthony Peluso,WPG,R,34,1989-04-18,North York,ON,CAN,CAN,75,225,2007,STL,6,9,160
2014,Antoine Roussel,DAL,L,34,1989-11-21,Roubaix,FRA,FRA,71,200,-,-,-,-,-,
2014,Antoine Vermette,"ARI, CHI",C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
2014,Anton Lander,EDM,C,32,1991-04-24,Sundsvall,SWE,SWE,72,184,2009,EDM,2,10,40,
2014,Anton Stralman,T.B,D,37,1986-08-01,Tibro,SWE,SWE,71,193,2005,TOR,7,22,216,
2014,Anton Volchenkov,NSH,D,42,1982-02-25,Moscow,RUS,RUS,73,220,2000,OTT,1,21,21,
2014,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,SVN,SVN,75,225,2005,L.A,1,11,11,
2014,Artem Anisimov,CBJ,C,35,1988-05-24,Yaroslavl,RUS,RUS,76,199,2006,NYR,2,24,54,
2014,B.J. Crombeen,ARI,R,38,1985-07-10,Denver,CO,USA,USA,74,209,2003,DAL,2,24,54
2014,Barclay Goodrow,S.J,R,31,1993-02-26,Toronto,ON,CAN,CAN,74,204,-,-,-,-,-
2014,Barret Jackman,STL,D,43,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,STL,1,17,17
2014,Beau Bennett,PIT,R,32,1991-11-27,Gardena,CA,USA,USA,74,195,2010,PIT,1,20,20
2014,Ben Chiarot,WPG,D,32,1991-05-09,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
2014,Ben Lovejoy,"ANA, PIT",D,40,1984-02-20,Concord,NH,USA,USA,73,205,-,-,-,-,-
2014,Ben Smith,"CHI, S.J",R,35,1988-07-11,Winston-Salem,NC,USA,USA,71,203,2008,CHI,6,18,169
2014,Ben Street,COL,C,37,1987-02-13,Coquitlam,BC,CAN,CAN,71,190,-,-,-,-,-
2014,Benoit Pouliot,EDM,L,37,1986-09-29,Alfred,ON,CAN,CAN,75,200,2005,MIN,1,4,4
2014,Blair Jones,PHI,C,37,1986-09-27,Central Butte,SK,CAN,CAN,74,216,2005,T.B,4,11,102
2014,Blake Comeau,PIT,L,38,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
2014,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
