Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2016,A.J. Greer,COL,L,27,1996-12-14,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
2016,Aaron Ekblad,FLA,D,28,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
2016,Aaron Ness,WSH,D,33,1990-05-18,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2016,Adam Clendening,NYR,D,31,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,CHI,2,6,36
2016,Adam Cracknell,DAL,R,38,1985-07-15,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2016,Adam Erne,T.B,L,28,1995-04-20,New Haven,CT,USA,USA,73,212,2013,T.B,2,3,33
2016,Adam Henrique,N.J,C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2016,Adam Larsson,EDM,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2016,Adam Lowry,WPG,"C, L",30,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
2016,Adam McQuaid,BOS,D,37,1986-10-12,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2016,Adam Pardy,NSH,D,39,1984-03-29,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2016,Adam Pelech,NYI,D,29,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
2016,Adrian Kempe,L.A,L,27,1996-09-13,Kramfors,SWE,SWE,74,200,2014,L.A,1,29,29,
2016,Alan Quine,NYI,C,31,1993-02-25,Belleville,ON,CAN,CAN,72,203,2013,NYI,6,15,166
2016,Alec Martinez,L.A,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2016,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2016,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2016,Alex Biega,VAN,D,35,1988-04-04,Montreal,QC,CAN,CAN,70,195,2006,BUF,5,24,147
2016,Alex Chiasson,CGY,R,33,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
