Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2007,Aaron Downey,DET,R,49,1974-08-27,Shelburne,ON,CAN,CAN,73,215,-,-,-,-,-
2007,Aaron Johnson,NYI,D,40,1983-04-30,Port Hawkesbury,NS,CAN,CAN,73,204,2001,CBJ,3,22,85
2007,Aaron Miller,VAN,D,52,1971-08-11,Buffalo,NY,USA,USA,75,210,1989,NYR,5,4,88
2007,Aaron Rome,CBJ,D,40,1983-09-27,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2007,Aaron Voros,MIN,L,42,1981-07-02,Vancouver,BC,CAN,CAN,74,210,2001,N.J,8,2,229
2007,Aaron Ward,BOS,D,51,1973-01-17,Windsor,ON,CAN,CAN,74,209,1991,WIN,1,5,5
2007,Adam Berti,CHI,L,37,1986-07-01,Scarborough,ON,CAN,CAN,75,205,2004,CHI,3,3,68
2007,Adam Burish,CHI,R,41,1983-01-06,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2007,Adam Foote,"CBJ, COL",D,52,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
2007,Adam Hall,PIT,R,43,1980-08-14,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
2007,Adam Mair,BUF,C,45,1979-02-15,Hamilton,ON,CAN,CAN,73,208,1997,TOR,4,4,84
2007,Adam Pineault,CBJ,R,37,1986-05-23,Holyoke,MA,USA,USA,73,201,2004,CBJ,2,16,46
2007,Adrian Aucoin,CGY,D,50,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
2007,Alain Nasreddine,PIT,D,48,1975-07-10,Montreal,QC,CAN,CAN,73,204,1993,FLA,6,5,135
2007,Ales Hemsky,EDM,R,40,1983-08-13,Pardubice,CZE,CZE,72,177,2001,EDM,1,13,13,
2007,Ales Kotalik,BUF,R,45,1978-12-23,Jindrichuv Hradec,CZE,CZE,73,225,1998,BUF,6,19,164,
2007,Alex Foster,TOR,C,39,1984-08-26,Canton,MI,USA,USA,72,200,-,-,-,-,-
2007,Alex Frolov,L.A,L,41,1982-06-19,Moscow,RUS,RUS,74,210,2000,L.A,1,20,20,
2007,Alex Goligoski,PIT,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2007,Alex Kovalev,MTL,R,51,1973-02-24,Togliatti,RUS,RUS,74,222,1991,NYR,1,15,15,
2007,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2007,Alex Tanguay,CGY,L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2007,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,SWE,SWE,76,210,2004,VAN,3,26,91,
2007,Alexander Nikulin,OTT,C,38,1985-08-25,Perm,RUS,RUS,73,198,2004,OTT,4,24,122,
2007,Alexander Radulov,NSH,R,37,1986-07-05,Nizhny Tagil,RUS,RUS,73,200,2004,NSH,1,15,15,
2007,Alexander Semin,WSH,R,40,1984-03-03,Krasnojarsk,RUS,RUS,74,211,2002,WSH,1,13,13,
2007,Alexander Steen,TOR,L,40,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2007,Alexandre Burrows,VAN,L,42,1981-04-11,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2007,Alexandre Picard,"PHI, T.B",D,38,1985-07-05,Gatineau,QC,CAN,CAN,75,215,2003,PHI,3,17,85
