Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2024,A.J. Greer,CGY,L,27,1996-12-14,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
2024,Aaron Ekblad,FLA,D,28,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
2024,Adam Beckman,MIN,L,22,2001-05-10,Saskatoon,SK,CAN,CAN,74,182,2019,MIN,3,13,75
2024,Adam Boqvist,CBJ,D,23,2000-08-15,Falun,SWE,SWE,72,182,2018,CHI,1,8,8,
2024,Adam Edstrom,NYR,C,23,2000-10-12,SWE,SWE,79,220,2019,NYR,6,6,161,,
2024,Adam Erne,EDM,L,28,1995-04-20,New Haven,CT,USA,USA,73,212,2013,T.B,2,3,33
2024,Adam Fantilli,CBJ,C,19,2004-10-12,CAN,74,194,2023,CBJ,1,3,3,,,
2024,Adam Fox,NYR,D,26,1998-02-17,Jericho,NY,USA,USA,71,182,2016,CGY,3,5,66
2024,Adam Gaudette,STL,C,27,1996-10-03,Braintree,MA,USA,USA,73,194,2015,VAN,5,28,149
2024,Adam Ginning,PHI,D,24,2000-01-13,Linkoping,SWE,SWE,75,188,2018,PHI,2,19,50,
2024,Adam Henrique,"ANA, EDM",C,34,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
2024,Adam Klapka,CGY,R,23,2000-09-14,Praha,CZE,CZE,80,235,-,-,-,-,-,
2024,Adam Larsson,SEA,D,31,1992-11-12,Skellefteå,SWE,SWE,75,209,2011,N.J,1,4,4,
2024,Adam Lowry,WPG,C,30,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
2024,Adam Pelech,NYI,D,29,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
2024,Adam Raska,MIN,R,22,2001-09-25,Frydek-Mistek,CZE,CZE,70,178,2020,S.J,7,15,201,
2024,Adam Ruzicka,"ARI, CGY",C,24,1999-05-11,Bratislava,SVK,SVK,76,215,2017,CGY,4,16,109,
2024,Adrian Kempe,L.A,R,27,1996-09-13,Kramfors,SWE,SWE,74,200,2014,L.A,1,29,29,
2024,Akito Hirose,VAN,D,24,1999-04-09,CALGARY,AB,CAN,CAN,72,170,-,-,-,-,-
2024,Alec Martinez,VGK,D,36,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
2024,Aleksander Barkov,FLA,C,28,1995-09-02,Tampere,FIN,FIN,75,215,2013,FLA,1,2,2,
2024,Alex Barré-Boulet,T.B,C,26,1997-05-21,Montmagny,QC,CAN,CAN,70,180,-,-,-,-,-
2024,Alex DeBrincat,DET,R,26,1997-12-18,Farmington Hills,MI,USA,USA,68,178,2016,CHI,2,9,39
2024,Alex Goligoski,MIN,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
2024,Alex Iafallo,WPG,L,30,1993-12-21,Eden,NY,USA,USA,72,200,-,-,-,-,-
2024,Alex Kerfoot,ARI,C,29,1994-08-11,Vancouver,BC,CAN,CAN,71,186,2012,N.J,5,29,150
2024,Alex Killorn,ANA,"C, L",34,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
2024,Alex Laferriere,L.A,R,22,2001-10-28,Chatham,NJ,USA,USA,72,173,2020,L.A,3,21,83
2024,Alex Newhook,MTL,C,23,2001-01-28,St. John's,NL,CAN,CAN,70,190,2019,COL,1,16,16
2024,Alex Nylander,"CBJ, PIT",L,26,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
2024,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,RUS,RUS,75,238,2004,WSH,1,1,1,
2024,Alex Petrovic,DAL,D,32,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
2024,Alex Pietrangelo,VGK,D,34,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
2024,Alex Steeves,TOR,C,24,1999-12-10,Bedford,NH,USA,USA,72,196,-,-,-,-,-
2024,Alex Tuch,BUF,R,27,1996-05-10,Syracuse,NY,USA,USA,76,219,2014,MIN,1,18,18
2024,Alex Turcotte,L.A,C,23,2001-02-26,Elk Grove,IL,USA,USA,71,185,2019,L.A,1,5,5
2024,Alex Vlasic,CHI,D,22,2001-06-05,Wilmette,IL,USA,USA,78,199,2019,CHI,2,12,43
2024,Alex Wennberg,"NYR, SEA",C,29,1994-09-22,Stockholm,SWE,SWE,74,190,2013,CBJ,1,14,14,
2024,Alexander Alexeyev,WSH,D,24,1999-11-15,St. Petersburg,RUS,RUS,76,213,2018,WSH,1,31,31,
2024,Alexander Barabanov,S.J,L,29,1994-06-17,St. Petersburg,RUS,RUS,70,195,-,-,-,-,-,
2024,Alexander Holtz,N.J,R,22,2002-01-23,Stockholm,SWE,SWE,72,195,2020,N.J,1,7,7,
2024,Alexander Romanov,NYI,D,24,2000-01-06,Moscow,RUS,RUS,73,215,2018,MTL,2,7,38,
2024,Alexandre Carrier,NSH,D,27,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
2024,Alexandre Texier,CBJ,C,24,1999-09-13,St. Martin D'heres,FRA,FRA,73,186,2017,CBJ,2,14,45,
2024,Alexey Toropchenko,STL,R,24,1999-06-25,Moscow,RUS,RUS,78,222,2017,STL,4,20,113,
2024,Alexis Lafrenière,NYR,L,22,2001-10-11,St-Eustache,QC,CAN,CAN,73,195,2020,NYR,1,1,1
2024,Aliaksei Protas,WSH,C,23,2001-01-06,VITEBSK,BLR,BLR,78,225,2019,WSH,3,29,91,
2024,Anders Lee,NYI,L,33,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
2024,Andre Burakovsky,SEA,L,29,1995-02-09,Klagenfurt,AUT,SWE,75,209,2013,WSH,1,23,23,
2024,Andreas Athanasiou,CHI,C,29,1994-08-06,London,ON,CAN,CAN,74,190,2012,DET,4,19,110
2024,Andreas Englund,L.A,D,28,1996-01-21,Stockholm,SWE,SWE,75,189,2014,OTT,2,10,40,
2024,Andrei Kuzmenko,"CGY, VAN",L,28,1996-02-04,YAKUTSK,RUS,RUS,71,194,-,-,-,-,-,
2024,Andrei Svechnikov,CAR,R,23,2000-03-26,Barnual,RUS,RUS,74,195,2018,CAR,1,2,2,
2024,Andrew Cogliano,COL,C,36,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
2024,Andrew Copp,DET,C,29,1994-07-08,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
2024,Andrew Mangiapane,CGY,L,27,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,CGY,6,15,166
2024,Andrew Peeke,"BOS, CBJ",D,26,1998-03-17,Parkland,FL,USA,USA,75,210,2016,CBJ,2,4,34
2024,Andrew Poturalski,SEA,C,30,1994-01-14,Williamsville,NY,USA,USA,70,183,-,-,-,-,-
2024,Angus Crookshank,OTT,L,24,1999-10-02,North Vancouver,BC,CAN,CAN,70,181,2018,OTT,5,2,126
2024,Anthony Beauvillier,"CHI, NSH, VAN",L,26,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,NYI,1,28,28
2024,Anthony Cirelli,T.B,C,26,1997-07-15,Etobicoke,ON,CAN,CAN,72,189,2015,T.B,3,11,72
2024,Anthony Duclair,"S.J, T.B",L,28,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
2024,Anthony Mantha,"VGK, WSH",R,29,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,DET,1,20,20
2024,Anthony Richard,BOS,C,27,1996-12-20,Trois-Rivieres,QC,CAN,CAN,71,183,2015,NSH,4,9,100
2024,Anton Blidh,NYR,L,29,1995-03-14,Molnlycke,SWE,SWE,73,197,2013,BOS,6,29,180,
2024,Anton Lundell,FLA,C,22,2001-10-03,Espoo,FIN,FIN,73,185,2020,FLA,1,12,12,
2024,Anze Kopitar,L.A,C,36,1987-08-24,Jesenice,SVN,SVN,75,225,2005,L.A,1,11,11,
2024,Arber Xhekaj,MTL,D,23,2001-01-30,Hamilton,ON,CAN,CAN,76,238,-,-,-,-,-
2024,Arshdeep Bains,VAN,L,23,2001-01-09,Surrey,BC,CAN,CAN,72,184,-,-,-,-,-
2024,Artem Zub,OTT,D,28,1995-10-03,Khabarovsk,RUS,RUS,74,200,-,-,-,-,-,
2024,Artemi Panarin,NYR,L,32,1991-10-30,Korkino,RUS,RUS,72,173,-,-,-,-,-,
2024,Arthur Kaliyev,L.A,R,22,2001-06-26,New York City,USA,USA,74,210,2019,L.A,2,2,33,
2024,Artturi Lehkonen,COL,L,28,1995-07-04,Piikkio,FIN,FIN,71,179,2013,MTL,2,25,55,
2024,Austin Czarnik,DET,C,31,1992-12-12,Detroit,MI,USA,USA,69,170,-,-,-,-,-
2024,Austin Watson,T.B,L,32,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
2024,Auston Matthews,TOR,C,26,1997-09-17,San Ramon,CA,USA,USA,75,208,2016,TOR,1,1,1
2024,Axel Jonsson-Fjallby,WPG,L,26,1998-02-10,Stockholm,SWE,SWE,73,189,2016,WSH,5,26,147,
2024,Barclay Goodrow,NYR,C,31,1993-02-26,Toronto,ON,CAN,CAN,74,204,-,-,-,-,-
2024,Barrett Hayton,ARI,C,23,2000-06-09,Peterborough,ON,CAN,CAN,73,207,2018,ARI,1,5,5
2024,Beck Malenstyn,WSH,L,26,1998-02-04,Delta,BC,CAN,CAN,75,200,2016,WSH,5,24,145
2024,Ben Chiarot,DET,D,32,1991-05-09,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
2024,Ben Hutton,VGK,D,30,1993-04-20,Brockville,ON,CAN,CAN,75,201,2012,VAN,5,26,147
2024,Ben Meyers,"ANA, COL",C,25,1998-11-15,DELANO,MN,USA,USA,71,194,-,-,-,-,-
2024,Blake Coleman,CGY,C,32,1991-11-28,Plano,TX,USA,USA,71,199,2011,N.J,3,14,75
2024,Blake Lizotte,L.A,C,26,1997-12-13,Lindstrom,MN,USA,USA,69,170,-,-,-,-,-
2024,Blake Wheeler,NYR,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
2024,Bo Groulx,ANA,C,24,2000-02-06,Gatineau,QC,CAN,CAN,74,200,2018,ANA,2,23,54
2024,Bo Horvat,NYI,C,28,1995-04-05,London,ON,CAN,CAN,72,215,2013,VAN,1,9,9
2024,Bobby Brink,PHI,R,22,2001-07-08,Minnetonka,MN,USA,USA,68,166,2019,PHI,2,3,34
2024,Bobby McMann,TOR,C,27,1996-06-15,"Wainwright, AB",AB,CAN,CAN,74,208,-,-,-,-,-
2024,Boone Jenner,CBJ,C,30,1993-06-15,Dorchester,ON,CAN,CAN,74,203,2011,CBJ,2,7,37
2024,Boris Katchouk,"CHI, OTT",L,25,1998-06-18,Waterloo,ON,CAN,CAN,74,206,2016,T.B,2,14,44
2024,Bowen Byram,"BUF, COL",D,22,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,COL,1,4,4
2024,Brad Marchand,BOS,L,35,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
2024,Braden Schneider,NYR,D,22,2001-09-20,Prince Albert,SK,CAN,CAN,75,208,2020,NYR,1,19,19
2024,Brady Skjei,CAR,D,29,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,NYR,1,28,28
